ID,Nota primera oportunidad,Nota segunda oportunidad
1,0.0,94.5
2,0.0,44.0
3,85.0,0.0
4,0.0,30.0
5,0.0,38.5
6,82.0,0.0
7,52.5,78.0
8,0.0,8.5
9,0.0,18.5
10,59.0,0.0
11,0.0,60.0
12,0.0,40.5
13,90.0,0.0
14,0.0,64.0
15,67.5,0.0
16,67.0,0.0
17,97.0,0.0
18,62.0,0.0
19,0.0,50.0
20,58.5,97.5
21,0.0,0.0
22,0.0,40.0
23,0.0,0.0
24,32.5,70.5
25,0.0,57.5
26,0.0,0.0
27,74.5,0.0
28,79.5,0.0
29,97.0,0.0
30,7.0,55.5
31,0.0,0.0
32,75.5,0.0
33,0.0,30.5
34,0.0,18.0
35,0.0,0.0
36,79.0,0.0
37,19.0,30.0
38,0.0,41.5
39,41.0,83.5
40,0.0,0.0
41,98.0,0.0
42,0.0,22.5
43,0.0,0.0
44,50.0,97.5
45,0.0,46.0
46,12.0,22.0
47,0.0,28.0
48,71.5,0.0
49,0.0,30.5
50,0.0,0.0
51,8.5,9.0
52,0.0,36.0
53,70.5,0.0
54,0.0,39.0
55,0.0,36.5
56,71.5,84.0
57,0.0,23.0
58,0.0,48.0
59,40.0,29.5
60,0.0,16.5
61,0.0,57.5
62,22.0,43.0
63,69.0,0.0
64,0.0,20.5
65,0.0,0.0
66,86.0,0.0
67,80.5,92.0
68,62.5,91.0
69,0.0,23.5
70,0.0,60.5
71,0.0,90.5
72,95.0,0.0
73,28.5,49.0
74,18.0,0.0
75,0.0,87.5
76,93.5,0.0
77,0.0,66.5
78,78.0,0.0
79,0.0,84.5
80,0.0,51.5
81,87.0,0.0
82,0.0,13.5
83,35.5,52.0
84,0.0,0.0
85,82.0,0.0
86,94.0,0.0
87,46.0,74.5
88,96.0,0.0
89,16.5,0.0
90,0.0,0.0
91,0.0,66.5
92,19.5,35.0
93,66.0,0.0
94,0.0,92.5
95,0.0,52.5
96,77.5,0.0
97,0.0,0.0
98,66.5,0.0
99,9.5,17.0
100,83.0,0.0
101,18.5,32.0
102,0.0,31.5
103,0.0,18.5
104,0.0,92.0
105,0.0,0.0
106,45.5,71.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
