ID,Session 2,Session 3,Session 4,Session 5,Session 6,Nota primera oportunidad,Nota segunda oportunidad
1,5.0,0.0,4.5,4.0,2.25,0.0,94.5
2,4.0,3.5,4.5,4.0,1.0,0.0,44.0
3,3.5,3.5,4.5,4.0,0.0,85.0,0.0
4,6.0,4.0,5.0,3.5,2.75,0.0,30.0
5,5.0,4.0,5.0,4.0,2.75,0.0,38.5
6,5.5,3.5,4.5,3.0,3.0,82.0,0.0
7,4.0,4.0,4.5,4.0,2.0,52.5,78.0
8,4.0,3.5,4.0,3.0,0.0,0.0,8.5
9,0.0,3.0,4.0,4.0,2.0,0.0,18.5
10,5.0,4.0,4.5,4.0,3.0,59.0,0.0
11,4.0,2.0,5.0,4.0,1.5,0.0,60.0
12,3.5,3.5,4.5,4.0,2.0,0.0,40.5
13,0.0,0.0,5.0,4.0,3.0,90.0,0.0
14,6.0,4.0,5.0,4.0,2.75,0.0,64.0
15,2.0,4.0,5.0,4.0,2.0,67.5,0.0
16,3.0,2.5,5.0,4.0,2.0,67.0,0.0
17,3.5,3.5,5.0,4.0,4.0,97.0,0.0
18,5.0,4.0,4.5,4.0,3.0,62.0,0.0
19,4.0,2.0,4.5,4.0,1.5,0.0,50.0
20,3.0,3.0,4.5,3.5,2.0,58.5,97.5
21,5.0,0.0,3.5,0.0,0.0,0.0,0.0
22,4.5,0.0,4.0,4.0,0.0,0.0,40.0
23,0.0,1.5,4.0,3.5,0.0,0.0,0.0
24,2.5,2.0,4.5,3.5,3.0,32.5,70.5
25,0.0,1.5,4.5,4.0,2.25,0.0,57.5
26,0.0,0.0,4.0,0.0,0.0,0.0,0.0
27,0.0,3.0,4.5,4.0,1.75,74.5,0.0
28,6.0,4.0,5.0,4.0,3.0,79.5,0.0
29,4.0,3.0,5.0,4.0,3.75,97.0,0.0
30,3.0,2.0,4.5,4.0,2.75,7.0,55.5
31,0.0,0.5,4.0,3.0,0.0,0.0,0.0
32,5.5,4.0,5.0,4.0,3.5,75.5,0.0
33,0.0,0.0,4.0,0.0,0.0,0.0,30.5
34,4.5,3.5,5.0,3.0,1.25,0.0,18.0
35,0.5,0.5,3.5,3.5,1.5,0.0,0.0
36,5.5,4.0,5.0,4.0,2.75,79.0,0.0
