session,student_Id,exercise,activity,start_time,end_time,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
1,1, Es, Other, 2.10.2014 11:25:33, 2.10.2014 11:25:34,0,0,0,0,0,84,0
1,1, Es, Aulaweb, 2.10.2014 11:25:35, 2.10.2014 11:25:42,218,0,0,4,0,397,0
1,1, Es, Blank, 2.10.2014 11:25:43, 2.10.2014 11:25:43,0,0,0,0,0,59,0
1,1, Es, Deeds, 2.10.2014 11:25:44, 2.10.2014 11:26:17,154117,6,0,8,0,1581,4
1,1, Es, Other, 2.10.2014 11:26:18, 2.10.2014 11:26:18,0,0,0,2,0,103,0
1,1, Es, Other, 2.10.2014 11:26:19, 2.10.2014 11:26:27,460,0,0,4,0,424,8
1,1, Es, Blank, 2.10.2014 11:26:28, 2.10.2014 11:26:28,0,0,0,1,0,93,0
1,1, Es, Deeds, 2.10.2014 11:26:29, 2.10.2014 11:26:29,0,0,0,1,0,75,0
1,1, Es, Aulaweb, 2.10.2014 11:26:30, 2.10.2014 11:26:33,0,0,0,2,0,238,0
1,1, Es, Deeds, 2.10.2014 11:26:34, 2.10.2014 11:26:41,4933,0,0,2,0,268,0
1,1, Es, Other, 2.10.2014 11:26:42, 2.10.2014 11:26:47,3212,0,0,4,0,275,2
1,1, Es, Aulaweb, 2.10.2014 11:26:48, 2.10.2014 11:27:0,1174,3,0,2,0,596,0
1,1, Es, Aulaweb, 2.10.2014 11:27:1, 2.10.2014 11:27:4,63,0,0,2,0,297,0
1,1, Es, Other, 2.10.2014 11:27:5, 2.10.2014 11:27:10,7834,0,0,0,0,142,0
1,1, Es, Aulaweb, 2.10.2014 11:27:11, 2.10.2014 11:27:15,0,4,0,2,0,342,0
1,1, Es, Other, 2.10.2014 11:27:16, 2.10.2014 11:27:17,140,0,0,0,0,99,0
1,1, Es_1_1, Study_Es_1_1, 2.10.2014 11:27:18, 2.10.2014 11:27:45,165188,0,0,4,0,715,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:27:46, 2.10.2014 11:27:49,234,0,0,2,0,214,0
1,1, Es_1_1, Study_Es_1_1, 2.10.2014 11:27:50, 2.10.2014 11:27:50,0,0,0,0,0,77,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:27:51, 2.10.2014 11:33:57,11510470,0,0,230,54,16970,7
1,1, Es_1_1, Properties, 2.10.2014 11:33:58, 2.10.2014 11:33:59,31,0,0,0,0,189,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:34:0, 2.10.2014 11:36:3,2396565,5,0,50,0,2811,0
1,1, Es_1_1, Other, 2.10.2014 11:36:4, 2.10.2014 11:36:12,11543,0,0,2,0,356,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:36:13, 2.10.2014 11:36:55,819129,0,0,2,0,116,0
1,1, Es_1_1, Blank, 2.10.2014 11:36:57, 2.10.2014 11:37:1,703,0,0,2,0,230,0
1,1, Es_1_1, Other, 2.10.2014 11:37:2, 2.10.2014 11:37:8,128,0,0,2,0,638,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:37:9, 2.10.2014 11:37:13,6879,0,0,2,0,135,0
1,1, Es_1_1, Blank, 2.10.2014 11:37:14, 2.10.2014 11:37:14,0,0,0,2,0,74,0
1,1, Es_1_1, Deeds, 2.10.2014 11:37:15, 2.10.2014 11:37:16,16,0,0,2,0,105,0
1,1, Es_1_1, Blank, 2.10.2014 11:37:17, 2.10.2014 11:37:19,31,0,0,5,0,135,0
1,1, Es_1_1, Deeds, 2.10.2014 11:37:20, 2.10.2014 11:37:20,0,0,0,3,0,80,0
1,1, Es_1_1, Deeds_Es_1_1, 2.10.2014 11:37:21, 2.10.2014 11:38:47,2475626,0,0,6,0,1361,0
1,1, Es_1_1, Other, 2.10.2014 11:38:48, 2.10.2014 11:38:54,3826,0,0,2,0,211,0
