session,student_Id,Md_Other,Ds_Other,Md_Deeds,Md_Blank,Ds_Blank,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Aulaweb,Ds_Aulaweb,Md_Fsm,Ds_TextEditor,Ds_Deeds
3,2,13.213,82.148,0.0,0.467,1.645,0.0,13.176,59.203,251.656,1442.94,0.312,6.337,21.969,0.0,0.0,0.0
3,3,32.747,333.143,0.079,12.552,152.599,0.0,0.011,0.024,41.739,112.157,9433.661,0.503,1.216,0.0,0.0,0.0
3,4,17.632,125.712,0.0,3.502,24.485,0.094,1.176,2.901,229.169,1250.147,55.11,5.935,19.938,0.093,0.0,0.0
3,5,6.189,49.196,0.14,24.452,354.48,0.095,2.351,13.173,105.824,466.363,0.214,17.501,79.759,0.0,0.0,0.0
3,6,42.872,501.14,62.041,0.249,1.592,0.032,0.104,0.24,95.276,485.365,0.0,0.306,1.498,0.0,0.0,0.0
3,7,8.087,45.882,0.0,0.381,2.647,0.0,1.583,7.387,570.911,3340.003,0.141,0.209,0.754,0.0,0.0,0.0
3,8,275.043,1744.135,0.0,0.752,2.087,0.0,1.904,7.272,8.914,48.258,0.108,0.769,2.764,0.0,0.0,0.0
3,9,6.195,41.297,183.566,8.536,50.054,0.0,0.163,0.583,231.648,982.295,136.534,192.132,787.064,0.0,0.0,0.0
3,10,28.678,228.539,0.0,4.315,53.664,0.0,0.716,2.0,144.925,1094.082,1.53,1.79,7.639,0.0,0.0,0.0
3,11,39.825,464.04,0.0,23.019,262.905,0.03,0.135,0.519,198.147,1399.079,38492.189,97.348,584.496,0.0,0.0,0.0
3,12,27.501,156.679,0.0,180.413,2490.94,27.127,1.654,4.04,570.012,2444.897,0.032,192.432,1049.85,0.0,0.0,0.0
3,14,226.482,2328.644,0.0,2.31,12.957,0.0,1.205,3.119,446.959,2679.566,0.406,25.784,97.051,0.0,0.0,0.0
3,15,314.612,3420.15,0.0,1.807,17.83,0.0,1.767,6.068,385.658,2716.986,0.109,1.717,6.095,0.0,0.0,0.0
3,16,24.434,150.571,0.016,4.511,22.066,12.18,0.073,0.212,15.8,52.909,1794.331,1.391,2.677,0.0,0.0,0.0
