session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Ds_TextEditor
4,1,5.978,42.197,71.573,475.741,1.041,9.989,0.096,0.0,3.251,14.52,420.049,2269.346,6.738,0.0,0.0
4,2,14.325,89.224,4.711,18.519,0.368,1.43,0.0,0.032,17.392,62.269,418.195,1860.38,3.719,0.0,0.0
4,3,26.493,295.964,0.411,1.085,9.956,134.83,0.032,3613.853,1.242,5.04,149.951,1320.423,46.902,0.0,0.0
4,4,14.621,111.807,7.212,29.854,3.275,22.876,0.0,427.815,113.894,871.711,281.263,1524.326,350.674,0.016,0.0
4,5,9.695,76.511,17.501,79.759,22.773,342.094,31.067,0.095,1.313,8.919,84.105,400.322,0.468,0.0,0.0
4,6,26.591,383.145,280.062,2331.918,8.096,98.468,0.015,3768.603,4.491,16.655,78.561,461.488,79.894,0.0,0.0
4,7,6.56,41.25,23604.154,201579.324,0.331,2.462,0.093,0.0,7.488,28.478,673.57,3429.271,15.05,0.0,0.0
4,8,137.836,1233.405,4.998,27.978,2.018,15.515,2.25,46.133,167.569,1330.869,66.997,318.822,0.0,0.0,0.0
4,9,5.424,37.725,140.127,672.669,157.251,1607.577,0.0,0.0,26.485,141.547,145.206,749.939,1.126,0.0,0.0
4,10,24.704,205.394,6.256,38.856,4.028,47.82,17.656,0.0,2.164,12.055,201.4,1043.326,31.076,0.0,0.0
4,11,68.402,722.604,90.493,563.792,20.802,249.952,0.235,0.0,1.137,3.388,121.193,921.463,0.198,0.0,0.0
4,12,25.745,151.573,180.295,1016.731,166.741,2393.209,0.0,194.697,43.156,331.608,471.198,2617.299,867.73,0.0,0.0
4,13,0.944,3.721,5.618,21.51,108.345,682.183,0.0,1471.848,36.333,253.508,983.813,3773.259,1983.272,0.0,0.0
4,14,193.19,2140.3,20.334,86.355,2.054,12.221,0.0,0.0,127.79,578.196,287.087,1856.558,158.78,0.0,0.0
4,15,282.088,3067.024,209.481,1604.745,2.987,21.045,0.0,0.0,3.71,18.589,368.716,2577.779,12.671,0.0,0.0
4,16,97.555,964.52,1.354,2.405,3.418,19.207,0.001,0.0,12.531,105.472,91.647,513.398,89.463,0.0,0.0
4,17,29.311,200.09,116.853,840.516,46.046,560.53,0.016,1.796,182.921,779.916,459.578,2832.867,0.03,0.0,0.0
4,18,3.015,17.348,0.09,0.214,1.199,8.36,0.0,0.016,5070.497,29000.762,26.858,97.889,0.141,0.0,0.0
4,19,26.701,147.401,169.566,160.653,0.796,4.592,0.0,0.0,0.917,2.864,80.586,157.954,11644.34,0.0,0.0
4,20,11.354,104.217,3.733,13.074,21.999,299.358,0.0,0.0,3.243,18.704,264.594,1663.391,1.169,0.0,0.0
4,21,96.524,1067.5,219.121,1548.137,3.671,28.863,0.0,0.0,0.229,1.438,1027.212,9252.195,0.015,0.0,0.0
4,22,12.845,66.22,8.003,26.974,4.155,47.641,0.0,0.0,1.028,3.838,474.199,1798.179,0.0,0.0,0.0
4,23,27.977,142.808,2128.317,16735.746,1.774,5.779,3.108,108.425,11.799,20.113,118.851,321.921,1.014,0.0,0.0
4,24,136.753,1018.763,93.576,381.993,4.622,33.083,0.0,0.0,26.037,152.594,79.04,346.037,873.47,0.0,0.0
4,25,7.685,51.569,5.572,12.269,3.783,28.965,0.0,4.844,131.216,575.549,6080.696,50370.639,0.0,0.0,0.0
4,26,2211.407,6254.11,0.0,0.0,5310.236,24382.278,0.064,0.0,39.271,282.318,151.348,787.451,0.0,0.0,0.0
4,27,9.07,57.913,816.502,1622.405,0.261,1.232,0.0,0.0,21.765,146.064,203.051,1006.81,1345.4,0.0,0.0
4,28,9.427,62.67,84.63,649.316,3.114,24.839,0.376,0.0,22.884,72.325,342.547,1643.57,35.188,0.0,0.0
4,29,6.924,79.179,0.12,0.353,0.167,0.528,0.0,0.0,3.891,35.235,42.682,152.058,0.719,0.0,0.0
4,30,18.062,138.403,1282.879,7214.599,23.183,220.931,0.733,51.439,139.631,851.842,667.645,3625.969,10.477,0.0,0.0
4,31,32.712,131.486,3.917,13.941,3.813,29.525,0.0,0.0,1.81,8.205,322.238,1383.047,0.531,0.0,0.0
4,32,9.572,60.539,4.499,25.264,0.656,7.477,0.0,0.0,5.467,39.014,306.781,1344.109,816.609,0.0,0.0
4,33,11.039,28.975,0.421,0.643,0.118,0.614,0.0,0.0,44.858,187.528,1301.742,3906.588,0.344,0.0,0.0
4,34,21.253,89.617,168.223,906.426,177.784,1362.792,51035.448,0.187,20.658,142.673,501.321,5271.125,8.111,0.0,0.0
