Sesion,Id,Study,Deeds,Texteditor,Blank,Diagram,Properties,Other,Aulaweb,Fsm,Nota
5,1,2.064,0.234,0.0,1.555,295.814,3.164,3.822,0.993,0.0,4.0
5,2,0.0,0.0,3498.555,0.436,266.653,18.135,12.942,3.298,0.0,4.0
5,3,0.0,0.016,2793.486,8.96,136.645,1.202,34.329,0.357,0.0,4.0
5,4,0.0,1704.474,4703.22,7.07,312.437,118.747,8.116,7.953,0.016,3.5
5,5,0.016,0.0,553.6,1.009,86.112,0.611,8.569,6.901,0.0,4.0
5,6,0.0,0.046,0.246,40.949,72.788,4.024,20.636,212.197,0.0,3.0
5,7,0.0,0.138,2045.271,0.31,356.867,9.889,113.047,22103.435,0.0,4.0
5,8,0.0,0.0,0.032,1.577,117.553,157.808,116.571,3.474,0.0,3.0
5,9,0.0,0.0,6052.941,163.831,260.561,25.747,25.38,2.866,0.0,4.0
5,10,0.032,309.365,4.501,11.275,131.022,1.968,9.654,5.23,0.0,4.0
5,11,0.0,0.0,0.281,21.926,87.104,1.31,50.889,56.63,0.0,4.0
5,12,0.095,0.0,0.0,216.707,335.581,46.37,15.509,32.491,0.0,4.0
5,13,1127.822,0.0,0.0,54.997,540.919,28.388,0.47,3.824,0.0,4.0
5,14,0.0,0.0,0.0,1.907,199.911,140.787,27.136,1.265,0.0,4.0
5,15,0.0,0.016,6.947,6.157,183.333,3.211,329.431,250.164,0.0,4.0
5,16,435.492,0.078,0.002,2.936,92.027,10.832,81.434,1.185,0.0,4.0
5,17,1481.972,0.0,1276.639,45.132,1205.374,191.998,34.328,114.9,0.0,4.0
5,18,0.0,0.077,0.048,29.091,34.383,4403.423,2.616,0.162,0.0,4.0
5,19,0.0,0.047,289.682,0.274,138.463,1.526,26.102,0.0,0.0,4.0
5,20,0.0,0.0,0.0,23.709,110.079,3.661,10.066,3.021,0.0,3.5
5,22,0.0,1325.123,0.0,1.487,411.758,0.559,6.697,9.012,0.0,4.0
5,23,0.0,8.596,2.031,2.128,373.848,4.29,49.525,1876.623,0.0,3.5
5,24,0.016,0.0,0.36,3.629,83.794,23.614,148.988,79.629,0.0,3.5
5,27,25.3,0.016,1391.313,2.134,276.641,17.784,5.884,157.293,0.0,4.0
5,28,0.0,0.062,0.124,-353700.244,-18843704.635,-85878.674,-1332227.224,-774412.914,0.0,4.0
5,29,0.0,0.0,65.506,0.197,74.77,3.679,5.967,0.165,0.0,4.0
5,30,0.0,0.0,13414.122,0.419,444.658,178.94,23.832,1534.578,0.0,4.0
5,31,0.156,0.0,0.0,2.661,261.1,2.0,21.576,2.727,0.0,3.0
5,32,0.047,0.0,9.657,0.627,937.292,5.976,6.07,4.985,0.0,4.0
5,34,0.0,0.0,161323.682,195.652,442.408,20.368,16.297,66.488,0.0,3.0
5,35,22.806,0.0,6622.559,9.394,313.671,18.287,9.262,6.749,0.0,3.5
5,36,9.283,0.0,0.0,0.048,240.029,43.037,24.598,1.713,0.0,4.0
5,37,0.032,1.44,4051.338,28.426,239.581,217.697,24.622,0.225,0.0,3.5
5,38,9.253,1.324,1.981,32.622,69.583,0.18,57.163,51.927,0.0,3.5
5,39,0.0,0.0,22120.733,0.539,601.95,43.091,129.38,5.224,0.047,3.5
5,40,276.599,0.015,0.22,0.057,298.755,11.681,5.762,20.155,0.0,2.5
5,41,1040.377,0.0,0.0,13.911,193.723,6.382,56.928,3.062,0.0,4.0
5,42,0.015,0.0,0.064,3.248,604.119,7.963,47.887,7.808,0.0,4.0
5,44,0.0,0.0,1128.11,0.958,209.748,0.952,0.459,14.653,0.0,4.0
5,45,0.03,0.592,0.0,7.677,434.715,5.975,30.791,36.464,0.0,2.5
5,47,9585.539,0.0,0.0,0.308,393.436,5.115,19026.088,23.077,2.325,2.5
5,48,0.0,0.0,5149.492,26.458,355.424,3.574,130.759,19.628,0.0,4.0
5,49,0.016,0.0,2560.582,2.724,170.694,1.135,18.136,22.08,0.0,3.5
5,50,0.0,0.656,1672.064,3.801,2868.927,5.815,40.25,120.479,0.0,3.5
5,51,0.0,0.0,7380.429,0.172,87.309,82.068,4.264,2.235,0.0,4.0
5,52,0.0,0.0,6.959,1.213,201.794,27.104,8.298,133.619,0.0,4.0
5,53,360.518,0.0,0.0,4.375,592.883,13.533,1.354,0.485,0.0,3.5
5,54,0.0,0.031,0.563,1.702,199.838,77.537,119.649,15.15,0.0,3.5
5,55,74.527,0.015,0.0,237.145,346.795,5510.861,17.76,1.666,0.0,4.0
5,56,1446.89,0.0,0.0,54.516,645.91,24.08,8.724,5.27,0.0,3.0
5,59,0.0,0.0,0.157,24.854,2074.243,17.568,20.947,112.707,0.0,3.5
5,60,0.0,0.0,0.0,0.242,654.479,9.733,16.484,9.635,0.0,3.5
5,61,496.558,0.11,2484.685,8.212,93.934,4.383,16.987,49.532,0.078,3.5
5,63,0.016,0.002,2971.6,6.331,477.322,8.029,63.202,14.859,0.0,3.5
5,64,7.875,0.0,0.016,6.426,204.946,27.25,20.715,42.949,0.0,3.5
5,65,0.14,0.0,1639.362,23.151,380.68,8.972,80.467,0.408,0.0,3.5
5,66,0.0,0.5,1.56,6.766,79.24,1.228,242.549,1.403,0.0,3.0
5,67,0.0,0.0,45.872,19.57,552.33,4.825,271.362,69.865,0.0,4.0
5,68,0.016,0.0,927.602,0.581,651.46,14.26,8.426,1.776,0.0,4.0
5,69,0.0,0.0,828.89,792.243,2747.582,60.118,87.922,30.22,0.0,4.0
5,70,0.0,0.0,62070.933,3.788,237.955,19.402,8.605,1.357,0.0,4.0
5,71,0.0,0.485,1.332,2.344,39.735,0.347,363.851,1.736,0.0,3.5
5,72,0.062,0.0,0.111,10.146,426.489,3.576,11.505,1.722,0.0,3.5
5,74,6.015,0.188,5613.118,16.999,38.76,10.339,58.874,4.752,0.0,4.0
5,75,0.031,0.233,0.0,0.138,132.986,9.142,19.649,5.297,0.0,4.0
5,76,0.03,0.0,0.0,0.167,180.827,1.189,15.522,54.821,0.0,4.0
5,78,0.0,0.062,175131.608,0.881,80.285,48.458,2.93,0.673,0.0,4.0
5,79,0.062,0.874,18.232,1337.286,960.055,7.694,5.485,4.976,0.0,4.0
5,80,0.016,0.0,2212.715,5.044,186.227,2.606,16855.845,467.873,0.0,4.0
5,81,82.221,0.0,3703.157,38.059,223.441,1.78,17.224,3.611,0.0,4.0
5,82,0.0,0.03,1.284,4.218,108.854,2.143,358.376,2.412,0.0,3.5
5,83,0.016,0.0,0.269,0.937,475.535,2.55,9.66,0.572,0.0,4.0
5,85,0.03,0.0,0.015,0.685,584.53,2.65,3.339,16.999,0.0,4.0
5,86,0.0,0.0,0.0,1.107,791.721,15.535,4.105,0.38,0.0,4.0
5,87,76.495,0.0,956.138,6.367,171.747,21.779,17.471,2.111,0.0,3.5
5,88,0.0,1.062,0.514,7.447,379.469,13.915,5.559,2.515,0.0,4.0
5,89,0.0,0.0,2629.0,3.341,10214.692,70.544,4095.627,0.144,0.0,2.5
5,90,0.0,0.0,29.695,39.149,22.299,0.141,32.128,0.68,0.0,3.5
5,91,0.0,0.064,0.032,18.244,415.348,4.051,19.914,2.034,0.0,4.0
5,92,0.047,0.0,0.0,1.346,3620.837,38.019,24.858,79.066,0.0,4.0
5,93,0.046,0.0,31286.165,3.679,125.709,5.53,7.233,4171.928,0.0,4.0
5,94,0.0,0.0,879.853,2.204,450.791,3.746,98.216,0.901,0.0,4.0
5,95,0.045,4.056,0.016,3.725,172.013,5.014,4.962,0.306,0.016,3.0
5,96,0.0,0.0,0.0,0.217,410.584,13.324,4.079,3.13,0.0,4.0
5,98,0.547,0.0,28.293,0.346,752.759,13.038,255.792,0.0,0.47,4.0
5,99,0.0,0.0,15778.122,9.502,366.046,8.365,17.916,2.176,0.0,3.5
5,100,0.0,0.0,79.546,15.823,177.398,1.907,20.594,9.181,0.0,4.0
5,101,0.016,0.0,0.0,0.382,43.518,0.001,20.604,12.443,0.0,3.5
5,102,0.0,0.0,17277.949,0.24,119.064,0.007,16.545,1.962,0.0,3.5
5,103,1.329,0.0,23.958,36.791,187.944,0.865,55.293,2.15,0.0,3.5
5,104,0.25,0.093,0.939,3.277,134.846,0.14,29.892,12.931,0.0,4.0
