Sesion,Id,Other,Blank,Deeds,Texteditor,Diagram,Study,Aulaweb,Properties,Fsm,Nota
3,2,83,64,1,1,52.0,1.0,24.0,17,0,4.0
3,3,116,153,1,1,80.0,1.0,33.0,10,0,4.0
3,4,275,167,1,1,77.0,1.0,47.0,12,1,5.0
3,5,108,143,1,1,81.0,1.0,42.0,29,0,5.0
3,6,155,164,1,1,74.0,1.0,34.0,11,0,4.0
3,7,78,73,1,1,66.0,1.0,44.0,20,0,5.0
3,8,41,73,1,1,52.0,1.0,29.0,22,0,4.0
3,9,43,28,1,1,47.0,1.0,12.0,12,0,4.0
3,10,128,135,1,1,87.0,1.0,45.0,37,0,5.0
3,11,115,155,1,1,43.0,1.0,31.0,14,0,2.0
3,12,192,110,1,1,81.0,1.0,32.0,22,0,4.0
3,14,105,88,1,1,77.0,1.0,22.0,17,0,5.0
3,15,78,130,1,1,70.0,1.0,24.0,23,0,5.0
3,16,124,58,1,1,70.0,1.0,23.0,28,0,3.0
3,17,87,102,1,1,48.0,1.0,22.0,33,1,4.0
3,18,111,96,1,1,73.0,1.0,24.0,16,0,5.0
3,19,243,51,1,1,36.0,0.0,0.0,34,0,2.0
3,20,250,114,1,1,60.0,1.0,22.0,20,0,4.0
3,23,78,10,1,1,6.0,1.0,42.0,1,0,2.0
3,24,119,148,1,1,59.0,1.0,43.0,13,0,2.0
3,25,39,165,1,1,4.0,1.0,9.0,2,0,2.0
3,27,54,53,1,1,77.0,1.0,3.0,33,0,4.0
3,28,104,78,1,1,76.0,1.0,29.0,11,0,5.0
3,29,230,52,1,1,49.0,1.0,6.0,36,0,4.0
3,30,191,48,1,1,31.0,1.0,51.0,20,0,2.0
3,31,38,36,1,1,11.0,1.0,12.0,11,0,1.0
3,32,114,104,1,1,93.0,1.0,43.0,36,0,5.0
3,34,58,47,1,1,44.0,1.0,36.0,31,0,4.0
3,35,26,27,1,1,16.0,1.0,5.0,6,0,1.0
3,36,65,45,1,1,84.0,1.0,12.0,21,0,5.0
3,38,47,18,1,1,41.0,1.0,20.0,15,0,3.0
3,39,175,123,1,1,36.0,1.0,25.0,28,0,1.0
3,41,119,91,1,1,91.0,1.0,26.0,27,0,5.0
3,42,55,82,1,1,37.0,1.0,47.0,37,0,3.0
3,43,119,43,1,1,49.0,1.0,40.0,26,0,3.0
3,44,184,65,1,1,80.0,1.0,63.0,29,0,5.0
3,45,27,4,1,1,4.0,1.0,3.0,1,0,1.0
3,47,213,105,1,1,33.0,1.0,26.0,15,0,2.0
3,48,147,71,1,1,37.0,1.0,28.0,12,0,3.0
3,49,183,173,1,1,54.0,1.0,30.0,40,0,3.0
3,50,110,54,1,1,38.0,1.0,33.0,27,0,2.0
3,51,195,144,1,1,27.0,1.0,68.0,17,0,1.0
3,52,139,152,1,1,86.0,1.0,25.0,34,0,5.0
3,53,70,190,1,1,50.0,1.0,7.0,32,0,4.0
3,54,42,69,1,1,57.0,1.0,41.0,14,0,4.0
3,55,46,89,1,1,36.0,1.0,8.0,5,0,4.0
3,56,103,151,1,1,56.0,1.0,31.0,37,0,4.0
3,59,105,120,3,1,43.0,1.0,35.0,12,0,2.0
3,61,155,198,1,1,28.0,1.0,46.0,15,1,1.0
3,63,75,107,2,1,33.0,1.0,42.0,11,0,2.0
3,66,237,160,1,1,74.0,1.0,55.0,29,0,2.0
3,67,241,51,1,1,62.0,1.0,67.0,24,0,5.0
3,68,28,105,2,1,30.0,1.0,24.0,13,0,4.0
3,69,42,17,1,1,5.0,1.0,35.0,3,0,1.0
3,70,120,49,1,1,82.0,1.0,8.0,23,0,5.0
3,72,302,154,1,1,45.0,1.0,70.0,41,0,4.0
3,73,87,122,1,1,59.0,0.0,0.0,25,0,4.0
3,74,132,213,1,1,54.0,1.0,53.0,23,0,2.0
3,75,71,37,1,1,45.0,1.0,8.0,5,0,5.0
3,76,134,98,1,1,63.0,1.0,41.0,31,1,5.0
3,78,111,78,1,1,47.0,1.0,34.0,17,0,4.0
3,79,101,42,1,1,69.0,1.0,22.0,15,0,4.0
3,80,81,65,1,1,37.0,1.0,17.0,26,0,1.0
3,81,102,64,1,1,55.0,1.0,35.0,20,0,5.0
3,82,120,105,1,1,39.0,1.0,46.0,21,0,3.0
3,83,173,82,1,1,45.0,1.0,18.0,9,0,3.0
3,84,143,24,1,1,20.0,1.0,2.0,16,0,0.0
3,85,155,57,1,1,93.0,1.0,37.0,24,0,5.0
3,86,92,200,1,1,79.0,1.0,34.0,45,0,5.0
3,87,70,75,1,1,75.0,1.0,41.0,20,0,4.0
3,88,101,86,1,1,42.0,1.0,29.0,31,0,4.0
3,89,64,8,1,1,4.0,0.0,2.0,10,0,2.0
3,90,116,87,1,1,38.0,1.0,18.0,12,0,3.0
3,91,134,157,1,1,65.0,1.0,14.0,20,0,5.0
3,92,112,36,1,1,57.0,1.0,40.0,46,0,3.0
3,93,102,79,1,1,45.0,1.0,10.0,27,0,5.0
3,94,157,120,1,1,76.0,1.0,36.0,14,0,5.0
3,95,126,97,1,1,56.0,1.0,34.0,27,0,4.0
3,97,94,112,1,1,63.0,1.0,44.0,30,0,4.0
3,98,61,29,1,1,39.0,1.0,0.0,11,0,5.0
3,99,119,74,1,1,48.0,1.0,23.0,34,0,3.0
3,100,257,103,1,1,56.0,1.0,32.0,37,0,2.0
3,101,77,105,1,1,34.0,1.0,29.0,23,0,2.0
3,102,116,176,1,1,77.0,1.0,16.0,15,0,5.0
3,105,47,12,1,1,0.0,1.0,6.0,1,0,1.0
3,106,39,57,1,1,46.0,1.0,14.0,8,0,4.0
3,107,272,156,1,1,51.0,1.0,76.0,16,0,1.0
