Sesion,Id,Study,Deeds,Texteditor,Blank,Diagram,Properties,Other,Aulaweb,Fsm,Nota
4,1,1.0,1,1.0,85,209,87,113,21.0,1,4.0
4,2,1.0,1,1.0,92,104,61,132,39.0,0,4.0
4,3,1.0,1,1.0,196,303,145,147,43.0,0,4.0
4,4,1.0,1,1.0,207,165,59,387,83.0,1,5.0
4,5,1.0,1,1.0,159,175,89,141,42.0,0,5.0
4,6,1.0,1,1.0,229,251,90,266,70.0,0,4.0
4,7,1.0,1,1.0,88,111,32,110,58.0,0,4.0
4,8,1.0,1,1.0,107,140,97,82,40.0,0,4.0
4,9,1.0,1,1.0,70,97,63,80,30.0,0,4.0
4,10,1.0,1,1.0,189,177,161,189,61.0,0,4.0
4,11,1.0,1,1.0,179,147,63,165,36.0,0,5.0
4,12,1.0,1,1.0,126,181,82,221,37.0,0,4.0
4,13,1.0,1,1.0,43,58,58,17,17.0,0,5.0
4,14,1.0,1,1.0,104,176,71,143,33.0,0,5.0
4,15,1.0,1,1.0,166,152,51,115,36.0,0,5.0
4,16,1.0,1,1.0,77,183,94,166,35.0,0,5.0
4,17,1.0,1,1.0,132,84,74,151,39.0,1,5.0
4,18,1.0,1,1.0,144,132,33,164,38.0,0,4.0
4,19,0.0,1,1.0,72,87,108,301,0.0,0,4.0
4,20,1.0,1,1.0,149,167,84,397,22.0,0,4.0
4,21,1.0,1,1.0,66,81,57,104,37.0,0,4.0
4,22,1.0,1,1.0,99,101,66,137,18.0,0,4.0
4,23,1.0,1,1.0,43,28,3,152,66.0,0,4.0
4,24,1.0,1,1.0,196,141,59,153,57.0,0,4.0
4,25,1.0,1,1.0,212,72,29,99,26.0,0,4.0
4,26,0.0,1,0.0,36,66,63,8,0.0,0,4.0
4,27,1.0,1,1.0,72,122,52,73,4.0,0,4.0
4,28,1.0,1,1.0,131,153,42,179,47.0,0,5.0
4,29,1.0,1,1.0,80,150,150,286,49.0,0,5.0
4,30,1.0,1,1.0,65,127,53,260,51.0,1,4.0
4,31,1.0,1,1.0,95,69,48,73,25.0,0,4.0
4,32,1.0,1,1.0,130,140,130,152,57.0,0,5.0
4,33,1.0,1,1.0,29,72,20,26,9.0,0,4.0
4,34,1.0,1,1.0,72,165,135,86,55.0,0,5.0
4,35,1.0,1,1.0,67,158,84,104,53.0,0,4.0
4,36,1.0,1,1.0,59,193,65,129,12.0,0,5.0
4,37,1.0,1,1.0,71,50,20,36,18.0,0,4.0
4,38,1.0,1,1.0,35,71,25,73,34.0,0,4.0
4,39,1.0,1,1.0,174,147,79,238,43.0,1,4.0
4,40,1.0,1,1.0,40,55,7,38,36.0,0,3.0
4,41,1.0,1,1.0,120,158,115,145,35.0,0,5.0
4,42,1.0,1,1.0,173,183,108,98,71.0,0,4.0
4,43,1.0,1,1.0,68,131,69,162,63.0,0,4.0
4,44,1.0,1,1.0,95,229,106,259,63.0,0,4.0
4,45,1.0,1,1.0,19,59,20,59,21.0,0,4.0
4,46,1.0,1,1.0,61,180,91,97,61.0,0,4.0
4,47,1.0,1,1.0,155,112,58,324,62.0,0,4.0
4,48,1.0,1,1.0,100,127,65,172,28.0,0,4.0
4,49,1.0,1,1.0,185,158,97,215,47.0,0,4.0
4,50,1.0,1,1.0,88,122,61,157,58.0,0,4.0
4,51,1.0,1,1.0,163,108,103,215,69.0,0,4.0
4,52,1.0,1,1.0,197,150,67,156,32.0,0,5.0
4,53,1.0,1,1.0,266,111,104,82,7.0,0,4.0
4,54,1.0,1,1.0,94,107,43,67,50.0,0,4.0
4,55,1.0,1,1.0,173,92,27,101,20.0,0,4.0
4,56,1.0,1,1.0,215,146,82,241,33.0,0,4.0
4,57,0.0,1,1.0,11,106,77,36,0.0,0,4.0
4,58,0.0,1,1.0,14,125,85,38,0.0,0,4.0
4,59,1.0,1,1.0,149,124,37,176,35.0,0,4.0
4,60,1.0,1,1.0,52,127,82,86,44.0,0,4.0
4,61,1.0,1,1.0,239,151,63,201,62.0,1,4.0
4,62,1.0,1,1.0,18,47,27,56,0.0,0,4.0
4,63,1.0,1,1.0,186,179,96,109,80.0,0,5.0
4,64,1.0,1,1.0,73,78,38,55,13.0,0,4.0
4,65,1.0,1,1.0,34,197,148,58,18.0,0,4.0
4,66,1.0,1,1.0,180,92,33,273,71.0,0,4.0
4,67,1.0,1,1.0,56,132,106,262,75.0,0,4.0
4,68,1.0,1,1.0,146,118,47,62,41.0,0,5.0
4,69,1.0,1,1.0,36,84,43,100,66.0,0,4.0
4,70,1.0,1,1.0,64,148,142,152,14.0,0,5.0
4,71,1.0,1,1.0,44,98,60,104,32.0,0,5.0
4,72,1.0,1,1.0,192,162,113,345,97.0,0,4.0
4,73,0.0,1,1.0,147,176,84,108,0.0,0,4.0
4,74,1.0,1,1.0,342,174,181,163,70.0,0,5.0
4,75,1.0,1,1.0,63,129,40,141,30.0,0,5.0
4,76,1.0,1,1.0,167,244,142,232,61.0,1,4.0
4,77,0.0,1,1.0,33,97,60,36,0.0,0,4.0
4,78,1.0,1,1.0,101,117,88,152,48.0,0,5.0
4,79,1.0,1,1.0,61,120,52,163,39.0,0,4.0
4,80,1.0,1,1.0,91,134,74,194,29.0,0,5.0
4,81,1.0,1,1.0,85,117,79,120,49.0,0,5.0
4,82,1.0,1,1.0,131,191,68,241,55.0,0,4.0
4,83,1.0,1,1.0,118,136,44,231,32.0,0,4.0
4,84,1.0,1,1.0,37,139,77,215,21.0,0,4.0
4,85,1.0,1,1.0,63,161,91,238,39.0,0,5.0
4,86,1.0,1,1.0,211,142,124,113,34.0,0,5.0
4,87,1.0,1,1.0,104,219,88,110,56.0,0,4.0
4,88,1.0,1,1.0,178,148,93,124,42.0,0,5.0
4,89,0.0,1,1.0,13,51,183,166,5.0,0,4.0
4,90,1.0,1,1.0,117,92,37,230,18.0,0,4.0
4,91,1.0,1,1.0,212,128,69,174,14.0,0,5.0
4,92,1.0,1,1.0,45,100,68,127,41.0,0,4.0
4,93,1.0,1,1.0,102,97,85,136,18.0,0,4.0
4,94,1.0,1,1.0,145,180,70,214,50.0,0,5.0
4,95,1.0,1,1.0,115,116,124,153,44.0,0,5.0
4,96,1.0,1,1.0,72,118,72,82,33.0,0,5.0
4,97,1.0,1,1.0,164,110,60,156,86.0,0,4.0
4,98,1.0,1,1.0,34,86,89,80,0.0,1,5.0
4,99,1.0,1,1.0,103,158,78,233,49.0,0,4.0
