Sesion,Id,Study,Deeds,Texteditor,Blank,Diagram,Properties,Other,Aulaweb,Fsm,Nota
2,1,1.0,1,1.0,57,39.0,16,64,9.0,0,4.0
2,2,1.0,1,1.0,36,27.0,9,55,14.0,0,3.0
2,3,1.0,1,1.0,77,32.0,5,60,19.0,0,3.0
2,4,1.0,1,1.0,88,24.0,10,209,21.0,1,5.0
2,5,1.0,1,1.0,83,49.0,24,61,28.0,0,4.0
2,6,1.0,1,1.0,91,31.0,6,93,27.0,0,5.0
2,7,1.0,1,1.0,65,26.0,14,56,30.0,0,3.0
2,8,1.0,1,1.0,42,29.0,15,22,17.0,0,3.0
2,10,1.0,1,1.0,72,30.0,26,65,29.0,0,4.0
2,11,1.0,1,1.0,97,33.0,11,63,25.0,0,3.0
2,12,1.0,1,1.0,61,35.0,13,160,29.0,0,3.0
2,14,1.0,1,1.0,59,31.0,10,71,19.0,0,5.0
2,15,1.0,1,1.0,68,22.0,17,30,6.0,0,2.0
2,16,1.0,1,1.0,43,50.0,27,69,12.0,0,2.0
2,17,1.0,1,1.0,46,21.0,19,28,15.0,0,3.0
2,18,1.0,1,1.0,60,25.0,8,74,17.0,0,4.0
2,19,0.0,1,1.0,42,26.0,26,209,0.0,0,3.0
2,20,1.0,1,1.0,76,28.0,14,76,22.0,0,2.0
2,21,1.0,1,1.0,38,27.0,35,61,21.0,0,4.0
2,22,1.0,1,1.0,61,36.0,13,73,8.0,0,4.0
2,24,1.0,1,1.0,61,42.0,8,95,36.0,0,2.0
2,27,1.0,1,1.0,32,35.0,23,32,0.0,0,0.0
2,28,1.0,1,1.0,43,28.0,7,55,16.0,0,5.0
2,29,1.0,1,1.0,29,20.0,19,194,0.0,0,3.0
2,30,0.0,1,1.0,15,22.0,7,83,28.0,0,2.0
2,32,1.0,1,1.0,77,37.0,30,57,27.0,0,5.0
2,34,1.0,1,1.0,32,17.0,15,35,26.0,0,4.0
2,36,1.0,1,1.0,24,28.0,12,35,12.0,0,5.0
2,38,1.0,1,1.0,10,26.0,12,24,10.0,0,3.0
2,39,1.0,1,1.0,62,27.0,14,87,20.0,0,2.0
2,41,1.0,1,1.0,57,47.0,22,45,12.0,0,5.0
2,42,1.0,1,1.0,53,23.0,23,35,29.0,0,2.0
