Sesion,Id,Other,Blank,Deeds,Texteditor,Diagram,Study,Aulaweb,Properties,Fsm,Nota
3,2,4.725,2.769,0.0,0.0,6.514,0.0,2.929,6.0,0.0,3.5
3,3,4.012,4.1,0.0,0.0,12.0,0.0,2.696,1.0,0.0,3.5
3,4,4.012,7.383,0.0,0.0,20.0,0.0,2.964,1.0,1.0,4.0
3,5,4.356,1.962,0.0,0.0,13.037,0.0,4.258,2.077,0.0,4.0
3,6,3.857,2.378,0.0,0.0,10.222,0.0,2.118,1.75,0.0,3.5
3,7,6.359,3.943,0.0,0.0,14.377,0.0,3.733,1.909,0.0,4.0
3,8,10.905,2.627,0.0,0.0,7.206,0.0,2.542,4.143,0.0,3.5
3,9,4.13,2.667,0.0,0.0,26.189,0.0,2.833,1.0,0.0,3.0
3,10,3.549,2.722,0.0,0.0,7.65,0.0,3.233,1.882,0.0,4.0
3,11,3.883,7.217,0.0,0.0,7.2,0.0,2.615,1.333,0.0,2.0
3,12,5.6,8.756,0.0,0.0,21.619,0.0,6.04,2.929,0.0,3.5
3,14,7.55,3.379,0.0,0.0,14.482,0.0,2.6,1.25,0.0,4.0
3,15,12.812,2.661,0.0,0.0,11.098,0.0,1.944,1.833,0.0,4.0
3,16,6.583,4.529,0.0,0.0,5.434,0.0,3.111,1.364,0.0,2.5
3,17,4.903,4.333,0.0,0.0,11.079,0.0,3.864,1.583,0.0,3.5
3,18,4.767,3.5,0.0,0.0,9.328,0.0,2.636,2.364,0.0,4.0
3,19,5.995,1.118,0.0,0.0,21.379,0.0,0.0,2.25,0.0,2.0
3,20,4.025,4.977,0.0,0.0,13.9,6.0,4.25,1.364,0.0,3.0
3,23,5.643,4.0,0.0,0.0,10.5,0.0,9.4,0.0,0.0,1.5
3,24,6.687,5.257,0.0,0.0,6.68,0.0,11.436,1.636,0.0,2.0
3,25,4.704,5.095,0.0,0.0,32.0,0.0,1.833,5.0,0.0,1.5
3,27,87.444,2.333,0.0,0.0,9.927,0.0,7.5,1.2,0.0,3.0
3,28,3.862,1.591,0.0,0.0,17.21,0.0,7.6,1.0,0.0,4.0
3,29,3.715,2.312,0.0,0.0,18.059,0.0,2.5,1.0,0.0,3.0
3,30,5.441,2.136,0.0,0.0,4.417,0.0,33.064,1.5,0.0,2.0
3,31,12.083,3.158,0.0,0.0,5.222,0.0,2.667,1.25,0.0,0.5
3,32,4.242,3.667,0.0,0.0,9.13,0.0,2.367,1.2,0.0,4.0
3,34,5.268,14.318,0.0,0.0,3.286,0.0,3.069,1.0,0.0,3.5
3,35,8.15,46.75,0.0,0.0,4.3,0.0,9.0,2.0,0.0,0.5
3,36,3.615,1.5,0.0,0.0,19.246,0.0,5.0,1.538,0.0,4.0
3,38,11.588,7.444,0.0,0.0,11.692,0.0,8.944,2.25,0.0,2.5
3,39,14.058,2.389,0.0,0.0,8.048,0.0,2.143,2.182,0.0,1.0
3,41,5.933,2.6,0.0,0.0,12.29,0.0,4.952,1.857,0.0,4.0
3,42,3.714,4.286,0.0,0.0,6.355,0.0,3.438,1.286,0.0,2.5
3,43,4.389,1.87,0.0,0.0,8.973,0.0,4.176,1.769,0.0,2.5
3,44,2.0,4.417,0.0,0.0,8.586,0.0,4.038,1.25,0.0,4.0
3,45,4.471,22.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0
3,47,4.291,4.512,0.0,0.0,7.522,0.0,2.833,1.0,0.0,2.0
3,48,10.758,3.514,0.0,0.0,9.96,0.0,6.13,1.0,0.0,2.5
3,49,5.991,5.015,0.0,0.0,13.951,0.0,2.957,1.611,0.0,2.5
3,50,8.6,3.913,0.0,0.0,6.03,0.0,9.552,2.12,0.0,2.0
3,51,4.719,1.432,0.0,0.0,6.087,0.0,3.111,2.1,0.0,1.0
3,52,4.395,2.894,0.0,0.0,11.621,0.0,9.611,1.7,0.0,4.0
3,53,3.885,3.925,0.0,0.0,10.564,0.0,1.333,1.154,0.0,3.0
3,54,4.231,2.528,0.0,0.0,4.568,0.0,4.467,1.143,0.0,3.5
3,55,5.968,2.047,0.0,0.0,24.786,0.0,2.2,1.5,0.0,3.5
3,56,5.77,7.812,0.0,0.0,7.676,0.0,4.25,1.231,0.0,3.0
3,59,8.274,2.525,0.0,0.0,3.0,0.0,7.0,1.429,0.0,2.0
