Sesion,Id,Study,Deeds,Texteditor,Diagram,Properties,Other,Blank,Aulaweb,Fsm,Nota
5,1,6.0,3.0,48.0,17.298,4.904,3.106,2.765,2.111,0.0,4.0
5,2,4.0,1.0,124.0,15.514,6.0,4.906,2.775,2.37,0.0,4.0
5,3,3.0,1.0,119.0,14.376,3.523,4.384,4.244,2.135,0.0,4.0
5,4,8.0,85.0,151.0,18.913,8.5,3.773,6.923,4.2,1.0,3.5
5,5,1.0,1.0,66.0,13.686,3.623,5.069,2.125,4.258,0.0,4.0
5,6,1.0,1.0,8.0,11.372,4.6,3.886,4.78,7.15,0.0,3.0
5,7,1.0,3.0,110.0,18.619,5.905,7.038,3.667,40.13,0.0,4.0
5,8,5.0,3.0,1.0,12.419,10.727,6.708,2.7,2.907,0.0,3.0
5,9,7.0,96.0,141.0,21.146,7.909,6.375,9.4,3.542,0.0,4.0
5,10,3.0,26.0,9.0,15.185,4.81,3.959,3.4,3.244,0.0,4.0
5,11,4.0,1.0,5.0,11.65,4.925,5.132,5.619,4.583,0.0,4.0
5,12,4.0,133.0,112.0,15.977,9.727,4.885,8.303,5.028,0.0,4.0
5,13,53.0,7.0,1.0,28.448,5.675,2.667,6.92,2.938,0.0,4.0
5,14,9.0,48.0,18.0,15.87,10.765,7.31,3.118,3.0,0.0,4.0
5,15,36.0,1.0,7.0,12.73,4.405,12.376,4.981,7.941,0.0,4.0
5,16,43.0,1.0,2.0,10.06,5.767,7.713,3.345,2.875,0.0,4.0
5,17,63.0,2.0,73.0,31.098,17.571,6.641,5.205,6.0,0.0,4.0
5,18,8.0,1.0,3.0,9.829,28.778,4.445,5.657,2.571,0.0,4.0
5,19,0.0,1.0,57.0,22.973,3.544,5.882,1.476,0.0,0.0,4.0
5,20,64.0,2.0,7.0,14.394,4.115,3.991,3.808,3.737,0.0,3.5
5,22,5.0,59.0,68.0,19.841,3.333,4.58,2.429,3.6,0.0,4.0
5,23,3.0,6.0,3.0,16.946,6.167,6.897,3.914,16.224,0.0,3.5
5,24,1.0,2.0,3.0,9.029,5.636,7.969,4.343,8.722,0.0,3.5
5,27,13.0,1.0,91.0,19.558,4.128,37.89,3.414,4.333,0.0,4.0
5,28,13.0,1.0,1.0,17.203,7.281,3.876,3.182,5.021,0.0,4.0
5,29,1.0,1.0,31.0,18.148,4.222,3.665,1.971,2.439,0.0,4.0
5,30,6.0,3.0,212.0,16.551,10.065,5.996,1.903,30.087,4.0,4.0
5,31,2.0,17.0,1.0,19.802,3.333,6.877,3.355,3.29,0.0,3.0
5,32,1.0,37.0,14.0,29.763,4.593,4.039,2.239,3.217,0.0,4.0
5,34,2.0,3.0,599.0,12.601,6.797,5.922,11.0,4.957,0.0,3.0
5,35,10.0,1.0,133.0,11.941,6.07,4.764,8.75,4.489,0.0,3.5
5,36,5.0,2.0,68.0,17.675,6.167,5.419,1.471,4.667,0.0,4.0
5,37,2.0,10.0,150.0,19.534,11.769,5.362,4.861,2.042,0.0,3.5
5,38,11.0,6.0,7.0,10.985,2.231,10.484,7.55,8.167,0.0,3.5
5,39,5.0,4.0,307.0,23.221,8.698,10.586,2.649,3.0,1.0,3.5
5,40,27.0,1.0,3.0,15.279,4.7,4.7,1.767,4.571,0.0,2.5
5,41,51.0,3.0,1.0,19.281,4.37,6.878,4.263,4.103,0.0,4.0
5,42,1.0,3.0,3.0,21.473,3.907,18.494,3.556,3.823,0.0,4.0
5,44,27.0,13.0,109.0,17.265,3.76,2.278,3.107,3.543,0.0,4.0
5,45,2.0,2.0,1.0,19.15,4.6,10.016,6.438,10.086,0.0,2.5
5,47,145.0,1.0,2.0,16.686,5.75,20.629,3.649,6.678,4.0,2.5
5,48,1.0,2.0,156.0,17.412,3.861,8.462,4.603,6.13,0.0,4.0
5,49,1.0,1.0,89.0,15.966,3.264,5.586,4.17,3.795,0.0,3.5
5,50,1.0,1.0,78.0,28.394,3.735,8.281,3.714,11.386,0.0,3.5
5,51,1.0,1.0,208.0,12.898,12.904,5.11,2.0,2.945,0.0,4.0
5,52,1.0,4.0,22.0,18.901,7.543,4.761,3.099,11.478,0.0,4.0
5,53,29.0,1.0,1.0,23.928,6.5,3.551,3.755,3.3,0.0,3.5
5,54,119.0,1.0,3.0,12.854,8.314,6.103,2.65,4.957,0.0,3.5
5,55,23.0,1.0,7.0,19.739,48.467,4.417,13.515,3.286,0.0,4.0
5,56,65.0,1.0,13.0,20.007,5.277,4.259,7.014,3.152,0.0,3.0
5,59,6.0,1.0,3.0,26.066,7.276,5.918,4.232,4.771,0.0,3.5
5,60,14.0,3.0,1.0,20.362,5.622,5.694,2.135,6.34,0.0,3.5
5,61,53.0,2.0,96.0,9.933,4.346,12.58,5.095,7.269,1.0,3.5
5,63,1.0,2.0,79.0,16.971,5.479,6.16,3.708,3.224,0.0,3.5
5,64,4.0,2.0,1.0,16.774,10.167,7.657,3.574,8.143,0.0,3.5
5,65,1.0,45.0,63.0,12.043,4.252,10.147,5.0,1.933,0.0,3.5
5,66,2.0,3.0,7.0,12.954,2.35,9.063,7.098,3.444,0.0,3.0
5,67,1.0,1.0,21.0,26.909,3.587,12.733,3.556,5.754,0.0,4.0
5,68,1.0,1.0,68.0,17.565,6.324,4.716,2.575,3.051,0.0,4.0
5,69,16.0,2.0,51.0,28.901,6.66,11.957,20.647,8.406,0.0,4.0
5,70,1.0,1.0,396.0,20.114,6.026,4.204,4.421,3.364,0.0,4.0
5,71,3.0,4.0,9.0,13.295,2.578,8.863,3.068,3.0,0.0,3.5
5,72,2.0,6.0,3.0,26.787,4.451,5.613,4.076,3.5,0.0,3.5
5,74,5.0,1.0,122.0,10.019,6.615,6.645,4.653,3.056,0.0,4.0
5,75,1.0,1.0,2.0,15.878,7.655,5.671,2.455,3.861,0.0,4.0
5,76,2.0,1.0,1.0,16.049,3.904,8.278,2.3,5.071,5.0,4.0
5,78,26.0,1.0,658.0,21.088,6.805,4.147,3.109,3.0,0.0,4.0
5,79,1.0,2.0,8.0,25.955,5.105,3.191,17.484,3.8,0.0,4.0
5,80,1.0,1.0,84.0,15.76,4.098,23.789,2.609,11.189,0.0,4.0
5,81,22.0,4.0,129.0,16.856,4.65,5.523,6.382,2.5,0.0,4.0
5,82,10.0,3.0,8.0,10.078,5.625,6.826,2.867,3.548,0.0,3.5
5,83,1.0,1.0,6.0,15.445,4.41,4.402,2.698,1.864,0.0,4.0
5,85,2.0,1.0,1.0,22.137,3.817,3.376,2.424,4.721,0.0,4.0
5,86,3.0,3.0,184.0,29.026,5.386,3.16,2.257,2.385,0.0,4.0
5,87,38.0,4.0,99.0,17.948,4.984,5.823,4.026,3.065,0.0,3.5
5,88,1.0,2.0,5.0,19.864,5.19,16.02,4.0,2.84,0.0,4.0
5,89,0.0,1.0,73.0,70.0,10.283,24.011,3.4,2.0,0.0,2.5
5,90,1.0,1.0,12.0,6.607,3.095,4.774,8.279,2.615,0.0,3.5
5,91,9.0,4.0,2.0,19.96,4.025,6.0,4.473,4.4,0.0,4.0
5,92,1.0,5.0,2.0,29.735,6.051,6.368,3.2,6.4,0.0,4.0
