Sesion,Id,Study,Deeds,Texteditor,Diagram,Properties,Other,Blank,Aulaweb,Fsm,Nota
2,1,1.0,1.0,3.0,23.697,2.455,2.9219999999999997,2.438,1.2,0.0,5.0
2,2,1.0,72.0,10.0,7.476,6.0,4.757,2.611,2.25,0.0,4.0
2,3,1.0,2.0,103.0,7.5,1.0,4.605,5.278,1.615,0.0,3.5
2,4,1.0,2.0,4.0,8.937999999999999,1.0,4.099,5.276,3.429,1.0,6.0
2,5,1.0,3.0,6.0,6.097,2.2,4.2139999999999995,2.097,2.19,0.0,5.0
2,6,3.0,1.0,12.0,2.9,2.0,4.667,2.659,2.154,0.0,5.5
2,7,2.0,1.0,1.0,4.737,1.111,7.234,4.188,3.263,0.0,4.0
2,8,258.0,9.0,2.0,10.1,6.0,3.818,2.625,2.733,0.0,4.0
2,10,2.0,1.0,3.0,3.182,2.25,3.1910000000000003,3.0669999999999997,3.529,0.0,5.0
2,11,1.0,1.0,4.0,8.652000000000001,1.4,3.175,8.68,2.762,0.0,4.0
2,12,1.0,60.0,12.0,17.074,3.333,6.3420000000000005,3.615,6.478,0.0,3.5
2,14,2.0,2.0,19.0,8.455,1.4,7.9110000000000005,3.1430000000000002,2.083,0.0,6.0
2,15,26.0,140.0,4.0,4.312,2.1109999999999998,24.75,1.469,3.8,0.0,2.0
2,16,5.0,1.0,8.0,6.077000000000001,1.364,7.261,4.6,2.556,0.0,3.0
2,17,1.0,2.0,2.0,6.176,2.0,4.5,6.2589999999999995,3.733,0.0,3.5
2,18,1.0,1.0,21.0,3.091,1.8,3.69,3.6430000000000002,3.0669999999999997,0.0,5.0
2,19,0.0,9.0,1.0,23.476,2.4619999999999997,5.396,1.067,0.0,0.0,4.0
2,20,6.0,297.0,122.0,4.917,1.375,4.226,2.1069999999999998,4.25,0.0,3.0
2,21,16.0,1.0,3.0,6.765,1.3330000000000002,3.2289999999999996,3.727,1.636,0.0,5.0
2,22,2.0,185.0,7.0,6.077000000000001,1.3330000000000002,5.292000000000001,2.412,8.0,0.0,4.5
2,24,2.0,1.0,5.0,8.167,1.714,6.776,4.211,12.618,0.0,2.5
2,27,6.0,1.0,19.0,5.593,1.308,138.5,2.571,0.0,0.0,0.0
2,28,1.0,2.0,9.0,7.739,1.0,4.31,1.615,11.2,0.0,6.0
2,29,29.0,46.0,7.0,23.6,1.0,4.0,4.0,0.0,0.0,4.0
2,30,0.0,10.0,2.0,4.471,1.4,6.956,1.857,50.037,0.0,3.0
2,32,2.0,27.0,14.0,5.222,1.111,4.968999999999999,2.8569999999999998,2.421,0.0,5.5
2,34,209.0,35.0,73.0,3.455,1.0,6.13,20.333,2.864,0.0,4.5
2,36,10.0,47.0,8.0,6.9,1.0,2.9,1.714,5.0,0.0,5.5
2,38,27.0,3.0,14.0,15.562000000000001,2.25,15.824000000000002,12.4,15.0,0.0,4.0
2,39,5.0,2.0,146.0,8.312000000000001,1.25,7.037000000000001,3.0,1.6,0.0,3.0
2,41,4.0,3.0,4.0,10.931,1.25,4.08,1.125,2.889,0.0,5.5
2,42,3.0,1.0,13.0,6.95,1.235,4.364,5.1739999999999995,3.696,0.0,3.0
2,43,2.0,228.0,2.0,10.08,1.545,3.2039999999999997,2.0,4.428999999999999,0.0,4.5
2,44,2.0,2.0,13.0,5.737,1.0,2.057,2.333,2.917,0.0,5.5
2,46,9.0,1.0,1.0,10.235,1.6669999999999998,4.0,2.5,3.556,0.0,2.0
2,47,4.0,253.0,8.0,8.588,1.0,3.74,1.421,3.0,0.0,4.0
2,48,10.0,1.0,1.0,12.056,1.0,12.206,4.333,7.706,0.0,3.5
2,49,1.0,13.0,1.0,17.767,1.385,6.308,2.593,3.625,0.0,3.0
2,50,22.0,1.0,24.0,7.5,2.05,9.465,4.417,10.158,0.0,2.0
2,51,2.0,13.0,4.0,6.25,2.1,6.138999999999999,1.517,2.878,0.0,1.0
2,52,7.0,1.0,7.0,7.917000000000001,1.0,3.137,2.485,2.333,0.0,6.0
2,53,2.0,2.0,3.0,7.778,1.0,4.217,4.574,2.0,0.0,4.0
2,54,2.0,6.0,1.0,5.35,1.2,3.375,2.278,4.136,0.0,4.5
2,56,19.0,81.0,4.0,5.526,1.3,5.63,5.787999999999999,5.769,0.0,2.5
2,59,1.0,1.0,105.0,3.227,1.6,5.526,2.0,1.8119999999999998,0.0,3.5
2,61,1.0,1.0,2.0,6.417000000000001,1.3330000000000002,37.5,3.196,9.929,1.0,0.0
