Sesion,Id,Study,Deeds,Texteditor,Diagram,Properties,Other,Blank,Aulaweb,Fsm,Nota
2,1,1.0,1.0,3.0,782.0,27.0,149.0,39.0,6.0,0.0,4.166666666666667
2,2,1.0,72.0,10.0,157.0,36.0,176.0,47.0,18.0,0.0,3.3333333333333335
2,3,1.0,2.0,103.0,195.0,3.0,198.0,95.0,21.0,0.0,2.916666666666667
2,4,1.0,2.0,4.0,143.0,2.0,582.0,153.0,48.0,1.0,5.0
2,5,1.0,3.0,6.0,189.0,22.0,118.0,65.0,46.0,0.0,4.166666666666667
2,6,3.0,1.0,12.0,58.0,4.0,252.0,109.0,28.0,0.0,4.583333333333334
2,7,2.0,1.0,1.0,90.0,10.0,340.0,134.0,62.0,0.0,3.3333333333333335
2,8,258.0,9.0,2.0,202.0,18.0,42.0,84.0,41.0,0.0,3.3333333333333335
2,10,2.0,1.0,3.0,70.0,27.0,150.0,92.0,60.0,0.0,4.166666666666667
2,11,1.0,1.0,4.0,199.0,7.0,127.0,217.0,58.0,0.0,3.3333333333333335
2,12,1.0,60.0,12.0,461.0,30.0,704.0,94.0,149.0,0.0,2.916666666666667
2,14,2.0,2.0,19.0,186.0,7.0,443.0,66.0,25.0,0.0,5.0
2,15,26.0,140.0,4.0,69.0,19.0,495.0,47.0,19.0,0.0,1.6666666666666667
2,16,5.0,1.0,8.0,237.0,15.0,334.0,46.0,23.0,0.0,2.5
2,17,1.0,2.0,2.0,105.0,8.0,90.0,169.0,56.0,0.0,2.916666666666667
2,18,1.0,1.0,21.0,68.0,9.0,214.0,51.0,46.0,0.0,4.166666666666667
2,19,0.0,9.0,1.0,493.0,32.0,885.0,16.0,0.0,0.0,3.3333333333333335
2,20,6.0,297.0,122.0,118.0,11.0,224.0,59.0,68.0,0.0,2.5
2,21,16.0,1.0,3.0,115.0,12.0,113.0,41.0,18.0,0.0,4.166666666666667
2,22,2.0,185.0,7.0,158.0,4.0,254.0,41.0,16.0,0.0,3.75
2,24,2.0,1.0,5.0,294.0,12.0,454.0,160.0,429.0,0.0,2.0833333333333335
2,27,6.0,1.0,19.0,151.0,17.0,3878.0,18.0,0.0,0.0,0.0
2,28,1.0,2.0,9.0,178.0,2.0,125.0,21.0,168.0,0.0,5.0
2,29,29.0,46.0,7.0,354.0,3.0,440.0,12.0,0.0,0.0,3.3333333333333335
2,30,0.0,10.0,2.0,76.0,7.0,473.0,13.0,1351.0,0.0,2.5
2,32,2.0,27.0,14.0,141.0,10.0,159.0,20.0,46.0,0.0,4.583333333333334
2,34,209.0,35.0,73.0,38.0,6.0,141.0,305.0,63.0,0.0,3.75
2,36,10.0,47.0,8.0,138.0,8.0,58.0,12.0,55.0,0.0,4.583333333333334
2,38,27.0,3.0,14.0,249.0,9.0,269.0,62.0,120.0,0.0,3.3333333333333335
2,39,5.0,2.0,146.0,133.0,5.0,380.0,66.0,16.0,0.0,2.5
2,41,4.0,3.0,4.0,317.0,5.0,102.0,9.0,26.0,0.0,4.583333333333334
2,42,3.0,1.0,13.0,139.0,21.0,96.0,119.0,85.0,0.0,2.5
2,43,2.0,228.0,2.0,252.0,17.0,173.0,36.0,124.0,0.0,3.75
2,44,2.0,2.0,13.0,109.0,2.0,72.0,7.0,35.0,0.0,4.583333333333334
2,46,9.0,1.0,1.0,174.0,10.0,172.0,25.0,96.0,0.0,1.6666666666666667
2,47,4.0,253.0,8.0,146.0,3.0,288.0,27.0,30.0,0.0,3.3333333333333335
2,48,10.0,1.0,1.0,217.0,1.0,769.0,91.0,131.0,0.0,2.916666666666667
2,49,1.0,13.0,1.0,533.0,18.0,574.0,70.0,58.0,0.0,2.5
2,50,22.0,1.0,24.0,150.0,41.0,672.0,53.0,193.0,0.0,1.6666666666666667
2,51,2.0,13.0,4.0,125.0,21.0,442.0,44.0,141.0,0.0,0.8333333333333334
2,52,7.0,1.0,7.0,190.0,5.0,160.0,82.0,21.0,0.0,5.0
2,53,2.0,2.0,3.0,140.0,10.0,97.0,247.0,2.0,0.0,3.3333333333333335
2,54,2.0,6.0,1.0,107.0,6.0,54.0,41.0,91.0,0.0,3.75
2,56,19.0,81.0,4.0,105.0,13.0,304.0,301.0,75.0,0.0,2.0833333333333335
2,59,1.0,1.0,105.0,71.0,8.0,105.0,40.0,29.0,0.0,2.916666666666667
2,61,1.0,1.0,2.0,77.0,4.0,1125.0,163.0,139.0,1.0,0.0
2,63,1.0,53.0,16.0,121.0,9.0,212.0,74.0,98.0,0.0,2.916666666666667
2,66,2.0,1.0,33.0,291.0,14.0,506.0,468.0,108.0,0.0,0.0
2,67,12.0,6.0,3.0,54.0,5.0,2314.0,86.0,255.0,0.0,4.583333333333334
2,70,1.0,1.0,4.0,312.0,9.0,150.0,18.0,16.0,0.0,4.583333333333334
2,71,8.0,2.0,1.0,205.0,16.0,304.0,18.0,31.0,0.0,4.166666666666667
2,72,1.0,294.0,7.0,217.0,40.0,933.0,118.0,96.0,0.0,3.75
2,73,0.0,2.0,4.0,87.0,10.0,239.0,1381.0,0.0,0.0,3.75
2,74,6.0,6.0,1.0,104.0,10.0,387.0,307.0,73.0,0.0,2.5
2,76,1.0,1.0,1.0,73.0,11.0,146.0,22.0,52.0,0.0,3.3333333333333335
2,78,1.0,1.0,2.0,125.0,20.0,130.0,46.0,64.0,0.0,2.0833333333333335
2,79,1.0,82.0,2.0,161.0,7.0,201.0,13.0,51.0,0.0,4.166666666666667
2,80,145.0,2.0,116.0,204.0,17.0,280.0,28.0,238.0,0.0,2.916666666666667
2,81,1.0,1.0,7.0,88.0,4.0,256.0,127.0,17.0,0.0,4.166666666666667
2,82,1.0,1.0,5.0,71.0,2.0,141.0,108.0,81.0,0.0,2.0833333333333335
2,83,7.0,4.0,79.0,79.0,1.0,348.0,28.0,0.0,0.0,3.3333333333333335
2,84,0.0,1.0,533.0,399.0,15.0,182.0,15.0,0.0,0.0,2.0833333333333335
2,85,2.0,2.0,19.0,391.0,30.0,142.0,26.0,90.0,0.0,5.0
2,86,40.0,1.0,8.0,244.0,10.0,94.0,89.0,28.0,0.0,4.166666666666667
2,87,98.0,16.0,4.0,187.0,3.0,135.0,67.0,75.0,0.0,3.3333333333333335
2,88,1.0,1.0,9.0,101.0,10.0,1184.0,75.0,39.0,0.0,4.166666666666667
2,90,2.0,201.0,16.0,117.0,5.0,135.0,142.0,27.0,0.0,2.916666666666667
2,91,4.0,2.0,2.0,167.0,4.0,298.0,184.0,29.0,0.0,5.0
2,92,2.0,15.0,1.0,802.0,56.0,441.0,24.0,259.0,0.0,2.0833333333333335
2,93,14.0,75.0,475.0,290.0,3.0,162.0,112.0,62.0,0.0,3.3333333333333335
2,94,2.0,3.0,14.0,193.0,4.0,539.0,62.0,36.0,0.0,4.583333333333334
2,95,2.0,1.0,1.0,68.0,25.0,298.0,153.0,18.0,0.0,3.3333333333333335
2,96,1.0,2.0,2.0,109.0,25.0,184.0,36.0,45.0,0.0,3.75
2,97,105.0,1.0,1.0,188.0,29.0,174.0,52.0,103.0,0.0,3.3333333333333335
2,98,0.0,475.0,15.0,13.0,2.0,169.0,11.0,0.0,0.0,2.916666666666667
2,99,1.0,1.0,1.0,105.0,32.0,165.0,18.0,34.0,0.0,1.6666666666666667
2,100,43.0,2.0,3.0,247.0,45.0,391.0,224.0,95.0,0.0,2.916666666666667
2,101,2.0,4.0,52.0,82.0,4.0,254.0,152.0,113.0,0.0,3.75
2,102,4.0,225.0,11.0,77.0,0.0,244.0,80.0,34.0,0.0,3.75
2,103,15.0,36.0,5.0,347.0,35.0,172.0,44.0,61.0,0.0,1.6666666666666667
2,104,1.0,44.0,8.0,346.0,23.0,196.0,59.0,46.0,0.0,5.0
2,107,3.0,8.0,1.0,413.0,14.0,707.0,435.0,319.0,0.0,0.0
