Sesion,Id,Other,Blank,Deeds,Texteditor,Diagram,Study,Aulaweb,Properties,Fsm,Nota
3,2,241.0,72.0,0.0,0.0,241.0,0.0,41.0,36.0,0.0,4.0
3,3,325.0,123.0,0.0,0.0,720.0,0.0,62.0,4.0,0.0,4.0
3,4,694.0,347.0,0.0,0.0,1160.0,0.0,83.0,3.0,1.0,5.0
3,5,257.0,104.0,0.0,0.0,704.0,0.0,132.0,27.0,0.0,5.0
3,6,351.0,176.0,0.0,0.0,552.0,0.0,36.0,7.0,0.0,4.0
3,7,407.0,138.0,0.0,0.0,762.0,0.0,112.0,21.0,0.0,5.0
3,8,229.0,134.0,0.0,0.0,245.0,0.0,61.0,29.0,0.0,4.0
3,9,95.0,16.0,0.0,0.0,969.0,0.0,17.0,1.0,0.0,4.0
3,10,323.0,147.0,0.0,0.0,459.0,0.0,97.0,32.0,0.0,5.0
3,11,299.0,332.0,0.0,0.0,216.0,0.0,68.0,8.0,0.0,2.0
3,12,756.0,394.0,0.0,0.0,1362.0,0.0,151.0,41.0,0.0,4.0
3,14,604.0,98.0,0.0,0.0,811.0,0.0,39.0,10.0,0.0,5.0
3,15,615.0,157.0,0.0,0.0,566.0,0.0,35.0,22.0,0.0,5.0
3,16,553.0,77.0,0.0,0.0,288.0,0.0,56.0,15.0,0.0,3.0
3,17,304.0,234.0,0.0,0.0,421.0,0.0,85.0,19.0,0.0,4.0
3,18,410.0,98.0,0.0,0.0,541.0,0.0,58.0,26.0,0.0,5.0
3,19,1127.0,19.0,0.0,0.0,620.0,0.0,0.0,36.0,0.0,2.0
3,20,640.0,219.0,0.0,0.0,695.0,6.0,68.0,15.0,0.0,4.0
3,23,316.0,12.0,0.0,0.0,42.0,0.0,329.0,0.0,0.0,2.0
3,24,555.0,368.0,0.0,0.0,334.0,0.0,446.0,18.0,0.0,2.0
3,25,127.0,321.0,0.0,0.0,64.0,0.0,11.0,5.0,0.0,2.0
3,27,3935.0,35.0,0.0,0.0,546.0,0.0,15.0,24.0,0.0,4.0
3,28,224.0,35.0,0.0,0.0,1067.0,0.0,190.0,3.0,0.0,5.0
3,29,509.0,37.0,0.0,0.0,614.0,0.0,5.0,5.0,0.0,4.0
3,30,789.0,47.0,0.0,0.0,106.0,0.0,1554.0,18.0,0.0,2.0
3,31,290.0,60.0,0.0,0.0,47.0,0.0,24.0,5.0,0.0,1.0
3,32,263.0,44.0,0.0,0.0,630.0,0.0,71.0,12.0,0.0,5.0
3,34,216.0,315.0,0.0,0.0,92.0,0.0,89.0,8.0,0.0,4.0
3,35,163.0,187.0,0.0,0.0,43.0,0.0,27.0,2.0,0.0,1.0
3,36,141.0,21.0,0.0,0.0,1251.0,0.0,55.0,20.0,0.0,5.0
3,38,394.0,67.0,0.0,0.0,304.0,0.0,161.0,9.0,0.0,3.0
3,39,1687.0,129.0,0.0,0.0,169.0,0.0,30.0,24.0,0.0,1.0
3,41,528.0,52.0,0.0,0.0,848.0,0.0,104.0,13.0,0.0,5.0
3,42,130.0,150.0,0.0,0.0,197.0,0.0,110.0,36.0,0.0,3.0
3,43,417.0,43.0,0.0,0.0,332.0,0.0,142.0,23.0,0.0,3.0
3,44,144.0,53.0,0.0,0.0,498.0,0.0,105.0,5.0,0.0,5.0
3,45,76.0,22.0,0.0,0.0,6.0,0.0,32.0,0.0,0.0,1.0
3,47,575.0,185.0,0.0,0.0,173.0,0.0,51.0,5.0,0.0,2.0
3,48,1022.0,123.0,0.0,0.0,249.0,0.0,141.0,1.0,0.0,3.0
3,49,671.0,341.0,0.0,0.0,572.0,0.0,68.0,29.0,0.0,3.0
3,50,731.0,90.0,0.0,0.0,199.0,0.0,277.0,53.0,0.0,2.0
3,51,604.0,63.0,0.0,0.0,140.0,0.0,168.0,21.0,0.0,1.0
3,52,378.0,136.0,0.0,0.0,767.0,0.0,173.0,17.0,0.0,5.0
3,53,202.0,365.0,0.0,0.0,412.0,0.0,4.0,15.0,0.0,4.0
3,54,110.0,91.0,0.0,0.0,169.0,0.0,134.0,8.0,0.0,4.0
3,55,185.0,88.0,0.0,0.0,694.0,0.0,11.0,3.0,0.0,4.0
3,56,427.0,500.0,0.0,0.0,284.0,0.0,85.0,16.0,0.0,4.0
3,59,604.0,101.0,0.0,0.0,93.0,0.0,147.0,10.0,0.0,2.0
3,61,1510.0,416.0,0.0,0.0,85.0,0.0,265.0,7.0,1.0,1.0
3,63,328.0,113.0,1.0,0.0,158.0,0.0,130.0,12.0,0.0,2.0
3,66,1798.0,494.0,0.0,0.0,592.0,0.0,127.0,15.0,0.0,2.0
3,67,2374.0,90.0,0.0,0.0,606.0,0.0,305.0,8.0,0.0,5.0
3,68,64.0,71.0,1.0,0.0,114.0,0.0,43.0,7.0,0.0,4.0
3,69,655.0,36.0,0.0,0.0,20.0,0.0,336.0,1.0,0.0,1.0
3,70,258.0,76.0,0.0,0.0,799.0,0.0,16.0,10.0,0.0,5.0
3,72,1045.0,147.0,0.0,0.0,248.0,0.0,168.0,42.0,0.0,4.0
3,73,365.0,2211.0,0.0,0.0,407.0,0.0,0.0,21.0,0.0,4.0
3,74,608.0,383.0,0.0,0.0,151.0,0.0,97.0,10.0,0.0,2.0
3,75,244.0,18.0,0.0,0.0,653.0,0.0,7.0,3.0,0.0,5.0
3,76,422.0,48.0,0.0,0.0,493.0,0.0,76.0,14.0,0.0,5.0
3,78,312.0,68.0,0.0,0.0,201.0,0.0,84.0,21.0,0.0,4.0
3,79,261.0,25.0,0.0,0.0,1129.0,0.0,66.0,15.0,0.0,4.0
3,80,3935.0,43.0,0.0,0.0,260.0,0.0,354.0,22.0,0.0,1.0
3,81,366.0,158.0,0.0,0.0,591.0,0.0,35.0,5.0,0.0,5.0
3,82,763.0,131.0,0.0,0.0,124.0,0.0,122.0,6.0,0.0,3.0
3,83,549.0,57.0,0.0,0.0,159.0,0.0,19.0,11.0,0.0,3.0
3,84,594.0,23.0,0.0,0.0,436.0,0.0,0.0,18.0,0.0,0.0
3,85,372.0,62.0,0.0,0.0,1012.0,0.0,149.0,37.0,0.0,5.0
3,86,188.0,106.0,0.0,0.0,802.0,0.0,48.0,14.0,0.0,5.0
3,87,204.0,75.0,0.0,0.0,740.0,0.0,110.0,5.0,0.0,4.0
3,88,1344.0,131.0,0.0,0.0,211.0,0.0,44.0,18.0,0.0,4.0
3,89,3047.0,5.0,0.0,0.0,128.0,0.0,0.0,29.0,0.0,2.0
3,90,230.0,245.0,0.0,0.0,149.0,0.0,34.0,7.0,0.0,3.0
3,91,402.0,222.0,0.0,0.0,752.0,0.0,43.0,6.0,0.0,5.0
3,92,546.0,52.0,0.0,0.0,833.0,0.0,276.0,66.0,0.0,3.0
3,93,359.0,133.0,0.0,0.0,588.0,0.0,71.0,4.0,0.0,5.0
3,94,607.0,118.0,0.0,0.0,1002.0,0.0,42.0,6.0,0.0,5.0
