Sesion,Id,Study,Deeds,Texteditor,Diagram,Properties,Other,Blank,Aulaweb,Fsm,Nota
4,1,1.0,3.0,14.0,2637.0,283.0,279.0,85.0,20.0,0.0,4.5
4,2,3.0,1.0,7.0,1176.0,256.0,411.0,85.0,61.0,0.0,4.5
4,3,89.0,1.0,22.0,3325.0,381.0,394.0,143.0,67.0,0.0,4.5
4,4,35.0,1.0,49.0,2329.0,350.0,930.0,388.0,210.0,1.0,5.0
4,5,0.0,28.0,8.0,1488.0,186.0,437.0,109.0,132.0,0.0,5.0
4,6,97.0,1.0,17.0,1948.0,347.0,540.0,337.0,301.0,0.0,4.5
4,7,15.0,2.0,8.0,1710.0,124.0,468.0,139.0,2079.0,0.0,4.5
4,8,20.0,4.0,2.0,1181.0,586.0,305.0,175.0,98.0,0.0,4.0
4,9,7.0,2.0,9.0,1398.0,255.0,183.0,238.0,57.0,0.0,4.0
4,10,28.0,7.0,26.0,2151.0,454.0,497.0,201.0,138.0,0.0,4.5
4,11,2.0,1.0,6.0,1041.0,197.0,594.0,340.0,71.0,0.0,5.0
4,12,22.0,5.0,47.0,2447.0,639.0,820.0,421.0,161.0,0.0,4.5
4,13,57.0,2.0,1.0,1817.0,193.0,26.0,146.0,40.0,0.0,5.0
4,14,34.0,2.0,22.0,2218.0,542.0,809.0,105.0,69.0,0.0,5.0
4,15,10.0,1.0,7.0,1583.0,155.0,926.0,292.0,231.0,0.0,5.0
4,16,11.0,2.0,23.0,1255.0,334.0,891.0,86.0,86.0,0.0,5.0
4,17,6.0,1.0,2.0,1484.0,607.0,659.0,244.0,239.0,0.0,5.0
4,18,1.0,1.0,3.0,981.0,774.0,582.0,188.0,86.0,0.0,4.5
4,19,0.0,39.0,222.0,1879.0,239.0,1402.0,24.0,0.0,0.0,4.5
4,20,1.0,1.0,5.0,1940.0,258.0,1114.0,253.0,68.0,0.0,4.5
4,21,35.0,1.0,5.0,1347.0,99.0,449.0,67.0,195.0,0.0,3.5
4,22,13.0,24.0,2.0,1412.0,132.0,419.0,59.0,25.0,0.0,4.0
4,23,16.0,4.0,3.0,332.0,25.0,726.0,79.0,1024.0,0.0,4.0
4,24,1.0,2.0,48.0,931.0,292.0,850.0,406.0,458.0,0.0,4.5
4,25,10.0,6.0,1.0,1806.0,248.0,257.0,361.0,95.0,0.0,4.5
4,26,0.0,2.0,0.0,735.0,287.0,203.0,1814.0,0.0,0.0,4.0
4,27,1.0,1.0,61.0,1520.0,148.0,3970.0,52.0,15.0,0.0,4.5
4,28,1.0,1.0,17.0,2305.0,231.0,431.0,150.0,222.0,0.0,5.0
4,29,1.0,2.0,7.0,2198.0,294.0,587.0,44.0,64.0,0.0,5.0
4,30,0.0,3.0,19.0,1963.0,455.0,1061.0,50.0,1554.0,4.0,4.5
4,31,28.0,2.0,1.0,1169.0,102.0,414.0,165.0,80.0,0.0,4.0
4,32,1.0,1.0,60.0,2423.0,247.0,330.0,55.0,140.0,0.0,5.0
4,33,74.0,9.0,5.0,2533.0,145.0,167.0,8.0,18.0,0.0,4.0
4,34,1.0,329.0,9.0,1551.0,525.0,366.0,322.0,219.0,0.0,5.0
4,35,7.0,1.0,9.0,1429.0,421.0,343.0,253.0,189.0,0.0,3.5
4,36,0.0,11.0,21.0,2667.0,325.0,412.0,22.0,55.0,0.0,5.0
4,37,2.0,2.0,780.0,1042.0,153.0,89.0,139.0,29.0,0.0,4.5
4,38,59.0,7.0,4.0,463.0,27.0,493.0,97.0,231.0,0.0,4.5
4,39,2.0,1.0,116.0,1877.0,446.0,1797.0,197.0,100.0,1.0,4.5
4,40,3.0,3.0,5.0,927.0,41.0,111.0,19.0,136.0,0.0,3.0
4,41,27.0,1.0,3.0,2639.0,318.0,635.0,70.0,115.0,0.0,5.0
