Student Id	Session 1	Session 2	Session 3	Session 4	Session 5	Session 6
1	1	1	0	1	1	1
2	1	1	1	1	1	1
3	0	1	1	1	1	0
4	1	1	1	1	1	1
5	1	1	1	1	1	1
6	0	1	1	1	1	1
7	1	1	1	1	1	1
8	0	1	1	1	1	0
9	1	0	1	1	1	1
10	1	1	1	1	1	1
11	1	1	1	1	1	1
12	1	1	1	1	1	1
13	0	0	0	1	1	1
14	1	1	1	1	1	1
15	1	1	1	1	1	1
16	0	1	1	1	1	1
17	1	1	1	1	1	1
18	0	1	1	1	1	1
19	1	1	1	1	1	1
20	1	1	1	1	1	1
21	1	1	0	1	0	0
22	1	1	0	1	1	0
23	0	0	1	1	1	0
24	0	1	1	1	1	1
25	0	0	1	1	0	1
26	0	0	0	1	0	0
27	0	1	1	1	1	1
28	1	1	1	1	1	1
29	0	1	1	1	1	1
30	1	1	1	1	1	1
31	0	0	1	1	1	0
32	1	1	1	1	1	1
33	0	0	0	1	0	0
34	1	1	1	1	1	1
35	0	0	1	1	1	1
36	1	1	1	1	1	1
37	1	0	0	1	1	1
38	1	1	1	1	1	1
39	1	1	1	1	1	1
40	0	0	0	1	1	0
41	0	1	1	1	1	1
42	1	1	1	1	1	1
43	1	1	1	1	0	0
44	1	1	1	1	1	1
45	0	0	1	1	1	0
46	1	1	0	1	0	1
47	1	1	1	1	1	1
48	0	1	1	1	1	1
49	1	1	1	1	1	1
50	0	1	1	1	1	1
51	1	1	1	1	1	1
52	1	1	1	1	1	1
53	1	1	1	1	1	1
54	1	1	1	1	1	1
55	1	0	1	1	1	0
56	1	1	1	1	1	1
57	0	0	0	1	0	1
58	0	0	0	1	0	0
59	1	1	1	1	1	1
60	0	0	0	1	1	1
61	0	1	1	1	1	1
62	1	0	1	1	0	0
63	1	1	0	1	1	1
64	0	0	0	1	1	1
65	0	0	0	1	1	1
66	1	1	1	1	1	1
67	1	1	1	1	1	1
68	1	0	1	1	1	1
69	0	0	1	1	1	1
70	1	1	1	1	1	1
71	1	1	0	1	1	0
72	0	1	1	1	1	1
73	1	1	1	1	0	1
74	1	1	1	1	1	1
75	0	0	1	1	1	1
76	1	1	1	1	1	1
77	0	0	0	1	0	0
78	1	1	1	1	1	1
79	1	1	1	1	1	1
80	1	1	1	1	1	1
81	1	1	1	1	1	1
82	1	1	1	1	1	1
83	0	1	1	1	1	1
84	0	1	1	1	0	0
85	1	1	1	1	1	1
86	1	1	1	1	1	1
87	1	1	1	1	1	1
88	1	1	1	1	1	1
89	0	0	1	1	1	1
90	1	1	1	1	1	1
91	1	1	1	1	1	1
92	1	1	1	1	1	1
93	1	1	1	1	1	1
94	1	1	1	1	1	1
95	0	1	1	1	1	1
96	1	1	0	1	1	1
97	1	1	1	1	0	1
98	1	1	1	1	1	1
99	0	1	1	1	1	1
100	1	1	1	0	1	0
101	1	1	1	0	1	0
102	1	1	1	0	1	1
103	0	1	0	0	1	0
104	1	1	0	0	1	1
105	1	0	1	0	0	0
106	0	0	1	0	0	0
107	0	1	1	0	0	0
108	1	0	0	0	0	0
109	1	0	0	0	0	0
110	1	0	0	0	0	0
111	1	0	0	0	0	0
112	1	0	0	0	0	0
113	1	0	0	0	0	0
114	1	0	0	0	0	0
115	1	0	0	0	0	0
