session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm
1,1,7.57,42.43,121.584,619.629,0.333,1.832,0.032,0.893,2.205,6.749,1630.538,4252.286,1.852,3.373,0.0
1,2,24.344,132.907,8.23,18.128,0.32,1.013,0.0,7.409,3.144,5.781,930.652,2856.286,2.028,0.0,0.0
1,4,26.295,108.192,10.378,27.283,0.576,1.883,0.016,0.0,2.471,4.014,158.918,495.603,0.468,0.0,0.0
1,5,9.689,62.886,26.587,103.875,71.517,606.956,0.531,0.0,5.284,20.48,319.984,852.335,0.268,0.0,0.0
1,7,18.63,70.724,0.062,0.167,0.251,0.927,113.754,0.234,0.841,1.953,1360.329,5252.034,4.127,0.0,0.0
1,9,7.838,47.194,257.173,906.109,8.289,53.619,1.17,0.124,0.333,0.829,61.033,113.269,0.359,0.0,0.0
1,10,58.599,337.931,0.0,0.0,0.001,0.004,0.0,0.0,1.419,2.925,472.008,2084.396,0.249,0.0,0.0
1,11,76.386,652.641,182.847,798.183,2.604,8.878,0.0,7.421,0.2,0.674,484.131,2270.217,0.406,0.0,0.0
1,12,33.409,174.41,303.663,1381.391,0.15,0.507,0.0,2.362,2.344,4.559,1117.016,3403.632,0.654,0.0,0.0
1,14,423.942,3313.013,55.294,141.092,1.913,6.898,3.261,1.545,2.683,4.389,2530.828,7367.403,1.28,0.0,0.0
1,15,37.178,199.65,2.981,8.337,3.793,29.336,0.0,0.0,3.03,8.379,1117.006,4910.546,4.117,0.0,0.0
1,17,1.43,4.474,0.792,1.821,0.895,3.64,0.0,0.015,0.006,0.015,1.61,4.505,0.376,0.0,0.0
1,19,28.494,89.768,169.566,160.653,4.205,11.056,0.063,0.0,0.139,0.479,165.6,266.256,2.699,0.0,0.0
1,20,3.277,14.368,3.788,13.812,1.186,6.047,0.0,0.109,1.141,3.233,681.219,3002.927,37.173,0.0,0.0
1,21,1.142,3.57,0.161,0.562,0.007,0.026,0.0,18.547,0.681,2.799,453.226,1425.773,0.0,0.0,0.0
1,22,18.827,81.802,13.507,36.794,13.159,85.178,0.0,0.123,2.187,5.967,657.566,1257.332,0.032,0.0,0.0
1,28,11.417,36.946,7.038,19.739,1.897,7.717,74.621,172.48,10.813,26.455,4419.505,7822.835,96.327,269.436,0.0
1,30,15.861,128.129,435.843,1568.027,54.449,340.657,0.0,12.034,6.233,23.424,969.881,5034.882,0.0,0.0,0.0
1,32,11.519,60.835,2.023,12.882,0.016,0.092,0.0,3671.12,0.966,3.839,201.689,535.228,895.548,0.0,0.0
1,34,27.21,113.01,398.455,1450.509,0.433,1.211,0.015,0.0,2.84,7.913,68.756,249.085,823.857,0.0,0.0
1,36,118.779,716.183,431.119,960.4,0.802,2.91,2.673,0.0,9.746,34.962,562.191,1401.663,26.587,0.0,0.0
1,37,17.129,76.511,0.0,0.0,712.558,5326.516,0.0,0.0,50.175,173.658,633.976,1815.849,690.067,0.0,0.0
1,38,18.641,51.894,2.752,6.446,1.628,6.414,0.0,0.016,0.319,0.551,416.65,736.308,11.679,29.633,0.0
1,39,24.605,161.945,0.538,1.473,10.592,73.567,0.0,0.0,1.781,6.556,707.155,2074.03,575.558,0.0,0.0
1,42,14.642,66.743,1.518,4.406,1.49,4.339,0.047,1.767,34.681,167.788,762.219,2628.858,219.425,0.0,0.0
1,43,22.852,91.213,9.318,40.298,0.302,0.727,0.156,0.032,3.643,6.05,914.969,3939.085,0.0,0.0,0.0
1,44,2.303,11.52,12.319,49.061,0.903,3.517,0.0,0.0,0.027,0.057,356.104,1286.853,0.124,0.0,0.0
1,46,31.935,317.817,116.216,687.311,0.109,0.608,0.0,0.0,5.989,19.53,1420.448,4332.929,0.109,0.0,0.0
1,47,68.6,261.365,38.352,134.699,3.502,22.357,0.0,0.172,5.825,10.389,75.534,163.703,0.016,0.0,0.0
1,49,9.375,33.964,1.971,6.63,0.139,0.328,0.016,7.71,4.536,11.78,1245.835,3603.444,0.717,0.0,0.0
1,51,7.6,49.432,2.414,10.916,0.689,3.243,0.25,0.015,0.141,0.19,845.756,2580.528,8.169,0.0,0.0
1,52,20.373,114.065,8.919,27.896,1.28,5.547,0.281,0.016,10.23,46.117,876.818,2148.259,8.735,0.0,0.0
1,53,12.832,76.531,783.454,2775.898,5.83,41.668,2.449,0.0,1.901,3.845,105.611,255.52,0.0,0.0,0.0
1,54,14.081,65.06,1.875,5.339,1.027,3.421,0.0,0.0,0.78,2.342,104.25,370.221,0.0,0.0,0.048
1,55,5.075,30.606,10.7,29.834,3.333,25.909,0.233,0.109,0.671,1.343,493.122,2535.465,0.0,0.0,0.0
1,56,2.7,7.509,5.797,17.313,1.299,6.015,0.0,0.0,0.117,0.383,45.319,164.678,2.098,0.0,0.0
1,59,108.312,726.672,7.341,21.296,2.153,11.937,1.45,201.628,16.038,74.205,4263.761,19996.408,0.186,0.0,0.0
1,62,3.756,16.027,0.619,2.733,7.638,49.157,0.0,0.0,2.769,5.828,223.444,541.728,12.515,11.651,0.0
1,63,95.801,327.797,1.239,3.484,5.391,37.155,16.732,342.544,2.939,5.789,1269.736,6369.953,4.438,0.0,0.0
1,66,11.839,72.809,11.518,38.527,46.964,276.856,0.0,0.0,1.307,2.303,698.396,3635.278,0.0,0.0,0.0
1,67,24.157,108.779,2.073,5.631,7.018,21.409,0.0,0.0,0.152,0.346,3003.17,7884.132,0.796,0.0,0.046
1,68,68.276,242.309,87.452,217.139,0.155,0.568,0.533,0.015,1.265,3.259,315.886,1039.941,0.0,0.0,0.0
1,70,12.372,88.736,2.544,7.988,1.267,4.178,0.0,0.0,0.996,2.688,4836.097,17235.359,0.016,0.0,0.0
1,71,35.242,234.653,11.129,42.161,0.26,0.62,0.016,0.0,0.718,0.873,606.344,817.042,0.0,0.0,0.0
1,73,4.773,21.265,0.0,0.0,119.67,306.323,0.0,0.0,2.244,9.209,453.18,1393.998,0.11,0.0,0.0
1,74,7.959,40.659,6.292,19.1,11.935,93.929,0.03,0.093,0.48,1.057,856.224,3818.704,0.0,0.0,0.0
1,76,15.302,91.556,1.888,8.346,0.281,1.543,0.0,0.0,1.976,6.535,412.612,1395.119,0.439,0.0,0.0
1,78,226.162,995.048,0.397,1.168,0.308,0.613,109.849,0.0,7.09,13.491,2335.302,6519.483,0.03,0.0,0.0
1,79,25.265,98.285,1.687,6.847,1.277,5.943,16.409,0.328,3.835,6.44,1244.803,3343.464,0.016,0.0,0.0
1,80,150.595,646.425,169.373,368.227,1.427,5.625,0.01,0.0,2.5,4.411,1994.305,2832.407,528.802,2090.444,0.0
1,81,157.847,1018.133,80.381,278.85,0.692,3.065,2.062,0.0,27.565,98.008,891.392,2494.863,0.438,0.0,0.0
1,82,75.299,603.589,39.272,187.219,1.727,7.335,5.865,0.0,0.154,0.629,597.407,2518.572,0.031,0.0,0.0
1,85,266.115,2256.858,902.662,4227.846,39.643,194.086,0.0,0.0,0.501,0.733,34.023,124.654,0.022,0.0,0.0
1,86,19.503,120.185,17.383,38.367,1.752,11.412,0.0,0.016,12.116,50.845,589.503,956.283,5.213,0.0,0.0
1,87,17.868,98.599,5.263,18.925,3.643,14.294,0.03,0.0,0.59,1.695,690.222,2201.552,0.047,0.0,0.0
1,88,12.977,34.988,4.641,14.565,5.954,31.899,0.126,6.993,2.477,5.594,423.722,777.71,68.944,0.0,0.0
1,90,3.985,20.042,0.069,0.123,29.277,204.718,0.03,0.0,0.06,0.092,886.54,1718.124,0.016,0.0,0.0
1,91,849.306,7724.177,64.492,295.451,3.492,31.217,0.296,4.072,0.358,1.439,403.175,1193.098,399.862,754.863,0.0
1,92,52.941,256.735,3.958,7.995,0.141,0.678,0.0,0.06,3.863,8.545,194.868,839.646,0.124,0.0,0.0
1,93,22.538,64.644,7.109,33.129,14.446,64.423,4.366,0.25,0.076,0.14,573.491,1678.335,48.782,0.0,0.0
1,94,29.563,171.545,4.837,17.114,7.528,39.591,0.0,0.0,16.535,46.646,405.175,987.057,1.188,0.0,0.0
1,96,2.758,15.758,1.498,6.067,1.663,5.107,0.984,5.434,1.121,2.694,346.571,822.863,28.039,57.347,0.0
1,97,9.8,52.976,1.786,5.697,3.187,19.46,0.0,0.0,2.531,5.168,456.969,1257.269,98.382,0.0,0.0
1,98,28.091,174.319,657.491,3199.826,2.38,5.367,0.0,0.016,0.42,1.037,407.653,1619.347,32.501,0.0,0.0
