session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm,Ds_Deeds
2,1,4.664,32.5,93.555,543.778,0.309,1.661,0.0,0.062,1.556,5.597,888.567,3025.457,0.899,1.959,0.0,0.0
2,2,15.334,92.202,4.144,12.369,0.63,2.007,2368.989,0.11,19.765,72.356,379.994,1799.334,2.064,0.0,0.0,0.0
2,3,61.294,463.21,0.363,1.362,24.601,215.103,0.062,0.0,0.019,0.034,24.347,80.944,2865.259,0.0,0.0,0.0
2,4,20.375,136.711,7.638,22.906,3.663,27.746,0.03,0.046,1.294,3.023,110.167,410.98,0.421,0.0,0.093,0.0
2,5,7.315,53.97,17.034,83.529,33.782,416.735,0.0,0.0,2.618,13.892,128.336,548.101,0.721,0.0,0.0,0.0
2,6,68.142,646.401,0.373,1.681,0.408,2.123,0.0,0.297,0.037,0.082,0.186,0.464,6.804,0.0,0.0,0.0
2,7,9.365,50.169,0.034,0.104,0.392,2.76,0.0,0.0,0.486,1.524,847.765,4180.668,0.008,0.0,0.0,0.0
2,8,1.173,5.34,1.143,3.579,0.818,2.177,0.0,0.0,2.329,8.798,15.857,64.255,0.031,0.0,0.0,0.0
2,10,38.03,267.056,2.546,9.456,6.963,68.648,0.0,0.0,0.91,2.225,243.889,1504.787,0.31,0.0,0.0,0.0
2,11,49.873,526.634,107.077,612.633,29.673,304.876,0.0,0.0,0.146,0.543,231.723,1512.281,0.22,0.0,0.0,0.0
2,12,29.739,162.956,200.56,1071.34,0.783,4.456,199.581,0.016,2.216,4.629,470.22,2211.057,4.074,0.0,0.0,0.0
2,14,269.857,2547.392,27.394,100.825,2.069,11.905,0.03,0.562,1.563,3.5,586.968,3502.02,95.538,0.0,0.0,0.0
2,15,469.308,4180.08,2.713,7.58,2.09,21.257,4122.224,0.0,2.056,6.521,645.369,3744.445,0.326,0.0,0.0,0.0
2,16,37.422,199.881,1.428,3.129,3.721,22.003,0.0,1.017,0.075,0.215,21.021,61.828,3.9,0.0,0.0,0.0
2,17,2.493,7.532,2.916,12.979,107.63,858.122,0.0,0.016,0.023,0.102,5.166,15.858,0.092,0.0,0.0,0.0
2,18,0.955,2.522,0.039,0.074,0.018,0.084,0.0,0.0,0.018,0.028,0.082,0.174,125.188,0.0,0.0,0.0
2,19,28.346,160.977,169.566,160.653,1.14,5.67,0.0,0.0,0.346,0.988,92.029,180.806,0.0,0.0,0.0,0.0
2,20,2.896,13.071,3.733,13.074,0.709,4.251,33947.227,3.199,0.762,2.661,475.482,2518.095,6979.666,0.0,0.0,0.0
