session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Ds_TextEditor
5,1,5.266,39.493,58.417,428.117,0.953,9.538,0.234,2.064,2.947,13.272,448.979,2668.999,202.832,0.0,0.0
5,2,15.378,95.467,4.285,17.693,0.423,1.595,0.0,0.0,16.657,61.022,334.246,1596.534,3498.555,0.0,0.0
5,3,34.329,312.937,0.357,0.984,8.96,118.695,0.016,0.0,1.202,4.96,136.645,1252.557,2793.486,0.0,0.0
5,4,11.623,96.82,8.706,39.163,5.756,38.314,1704.474,0.0,103.447,830.691,281.353,1488.192,4703.22,0.016,0.0
5,5,9.138,74.055,17.501,79.759,20.848,322.137,0.0,0.016,1.359,8.441,115.704,693.324,553.6,0.0,0.0
5,6,20.636,324.595,212.197,1912.576,40.949,609.448,0.046,0.0,4.024,15.694,72.788,418.48,0.246,0.0,0.0
5,7,86.492,1094.055,18538.375,178592.806,0.3,2.268,0.138,0.0,6.819,27.238,600.646,3205.769,2045.271,0.0,0.0
5,8,116.571,1134.057,3.474,22.004,1.577,13.723,0.0,0.0,157.808,1291.734,117.553,872.234,0.032,0.0,0.0
5,9,16.577,93.898,124.794,635.724,123.505,1344.918,0.0,0.0,22.534,130.755,235.62,1020.49,6052.941,0.0,0.0
5,10,24.95,201.3,5.23,35.547,10.18,123.249,309.365,0.032,1.93,11.185,167.761,929.698,4.501,0.0,0.0
5,11,60.154,676.444,111.168,596.654,17.387,228.535,0.0,0.0,1.061,3.283,132.779,946.796,0.281,0.0,0.0
5,12,23.713,145.434,161.914,964.263,145.959,2179.919,0.0,0.095,41.377,324.74,412.444,2409.471,1844.196,0.0,0.0
5,13,0.47,2.458,3.824,17.764,54.997,485.424,0.0,1127.822,28.388,222.988,540.919,2544.483,538.591,0.0,0.0
5,14,177.239,2046.346,20.334,86.355,1.908,11.782,0.0,0.0,120.614,562.308,296.585,1789.177,0.0,0.0,0.0
