session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Md_Fsm,Md_FSM
6,1,4.168,34.303,50.151,395.062,2.439,26.525,0.016,0.0,24.424,324.177,442.545,2639.706,0.03,0.0,0.0
6,2,16.597,89.309,113.311,638.177,0.466,1.886,0.172,1.996,16.12,57.002,319.053,1560.954,15.583,0.0,0.0
6,4,10.62,92.337,8.014,37.459,17.884,210.632,0.03,0.0,39.261,458.19,276.053,1467.864,2221.911,0.016,0.0
6,5,7.337,64.198,17.501,79.759,16.874,289.349,0.0,0.015,4.362,31.742,132.872,757.267,0.14,0.0,0.0
6,6,76.405,946.073,177.323,1747.708,36.465,553.829,0.0,0.047,27.104,168.742,70.679,412.286,0.093,0.0,0.0
6,7,72.277,978.813,15411.059,162739.505,1.054,9.424,0.0,0.218,25.923,225.644,565.203,3096.649,0.062,0.0,4738.19
6,9,19.221,111.285,104.722,583.506,107.324,1186.627,0.062,0.0,78.002,644.522,225.053,988.66,12.444,0.0,0.031
6,10,137.359,1659.125,6.109,36.606,63.382,1007.348,0.0,8843.439,14.786,188.16,164.319,917.704,0.0,0.0,20.983
6,11,48.339,599.74,108.49,589.582,12.631,193.723,0.0,0.0,35.518,305.244,128.945,932.662,0.0,0.0,0.0
6,12,35.29,279.106,154.833,928.997,179.317,2183.846,0.0,0.0,60.714,382.285,402.129,2371.609,37.137,0.0,1.591
6,13,1816.604,16373.992,2.576,14.415,36.03,391.069,0.0,5424.565,14.611,140.635,532.285,2484.654,496.064,0.0,0.016
6,14,132.72,1746.48,18.28,81.822,2.089,11.721,0.0,0.0,126.967,695.739,286.718,1753.855,0.0,0.0,0.0
6,15,204.7,2572.181,160.375,1389.748,7.124,52.883,0.28,0.0,7.731,35.842,303.995,2331.75,0.124,0.0,314.81
