session,student_Id,Md_Other,Ds_Other,Md_Aulaweb,Ds_Aulaweb,Md_Blank,Ds_Blank,Md_Deeds,Md_Study,Md_Properties,Ds_Properties,Md_Diagram,Ds_Diagram,Md_TextEditor,Ds_TextEditor,Md_Fsm,Ds_Deeds,Md_FSM
1,1,7.57,42.43,121.584,619.629,0.33299999999999996,1.8319999999999999,0.032,0.893,2.205,6.749,1630.5379999999998,4252.286,1.8519999999999999,3.373,0.0,0.0,0.0
1,2,24.344,132.907,8.23,18.128,0.32,1.013,0.0,7.409,3.1439999999999997,5.781000000000001,930.6519999999999,2856.2859999999996,2.028,0.0,0.0,0.0,0.0
1,4,26.295,108.19200000000001,10.378,27.283,0.5760000000000001,1.883,0.016,0.0,2.471,4.013999999999999,158.918,495.603,0.46799999999999997,0.0,0.0,0.0,0.0
1,5,9.689,62.886,26.587,103.875,71.517,606.956,0.531,0.0,5.284,20.48,319.98400000000004,852.335,0.268,0.0,0.0,0.0,0.0
1,7,18.63,70.72399999999999,0.062,0.16699999999999998,0.251,0.927,113.75399999999999,0.23399999999999999,0.841,1.953,1360.329,5252.034000000001,4.127,0.0,0.0,0.0,0.0
1,9,7.837999999999999,47.193999999999996,257.173,906.1089999999999,8.289,53.619,1.17,0.124,0.33299999999999996,0.8290000000000001,61.033,113.26899999999999,0.359,0.0,0.0,0.0,0.0
1,10,58.599,337.931,0.0,0.0,0.001,0.004,0.0,0.0,1.419,2.925,472.00800000000004,2084.396,0.249,0.0,0.0,0.0,0.0
1,11,76.38600000000001,652.641,182.847,798.183,2.6039999999999996,8.878,0.0,7.421,0.2,0.674,484.131,2270.217,0.406,0.0,0.0,0.0,0.0
1,12,33.409,174.41,303.663,1381.391,0.15,0.507,0.0,2.362,2.344,4.559,1117.016,3403.632,0.654,0.0,0.0,0.0,0.0
1,14,423.94199999999995,3313.013,55.294,141.092,1.913,6.898,3.261,1.545,2.6830000000000003,4.388999999999999,2530.828,7367.403,1.28,0.0,0.0,0.0,0.0
1,15,37.178000000000004,199.65,2.9810000000000003,8.337,3.793,29.336,0.0,0.0,3.03,8.379,1117.006,4910.545999999999,4.117,0.0,0.0,0.0,0.0
1,17,1.43,4.474,0.792,1.821,0.895,3.64,0.0,0.015,0.006,0.015,1.61,4.505,0.376,0.0,0.0,0.0,0.0
1,19,28.494,89.76799999999999,169.56599999999997,160.653,4.205,11.056,0.063,0.0,0.139,0.479,165.6,266.256,2.699,0.0,0.0,0.0,0.0
1,20,3.2769999999999997,14.368,3.7880000000000003,13.812000000000001,1.186,6.047000000000001,0.0,0.109,1.141,3.233,681.2189999999999,3002.927,37.173,0.0,0.0,0.0,0.0
1,21,1.1420000000000001,3.57,0.161,0.562,0.006999999999999999,0.026000000000000002,0.0,18.547,0.6809999999999999,2.799,453.226,1425.773,0.0,0.0,0.0,0.0,0.0
1,22,18.827,81.80199999999999,13.507,36.794000000000004,13.159,85.178,0.0,0.12300000000000001,2.187,5.9670000000000005,657.566,1257.3319999999999,0.032,0.0,0.0,0.0,0.0
1,28,11.417,36.946,7.037999999999999,19.739,1.8969999999999998,7.7170000000000005,74.62100000000001,172.48,10.812999999999999,26.455,4419.505,7822.835,96.32700000000001,269.436,0.0,0.0,0.0
1,30,15.860999999999999,128.129,435.843,1568.027,54.449,340.657,0.0,12.034,6.233,23.424,969.8810000000001,5034.8820000000005,0.0,0.0,0.0,0.0,0.0
1,32,11.519,60.835,2.023,12.882,0.016,0.092,0.0,3671.12,0.966,3.839,201.68900000000002,535.2280000000001,895.548,0.0,0.0,0.0,0.0
1,34,27.21,113.01,398.455,1450.509,0.433,1.2109999999999999,0.015,0.0,2.84,7.912999999999999,68.756,249.085,823.857,0.0,0.0,0.0,0.0
1,36,118.779,716.183,431.119,960.4,0.802,2.91,2.673,0.0,9.746,34.961999999999996,562.191,1401.6629999999998,26.587,0.0,0.0,0.0,0.0
1,37,17.129,76.51100000000001,0.0,0.0,712.558,5326.516,0.0,0.0,50.175,173.658,633.976,1815.849,690.067,0.0,0.0,0.0,0.0
1,38,18.641,51.894,2.752,6.446000000000001,1.6280000000000001,6.414,0.0,0.016,0.319,0.551,416.65,736.308,11.679,29.633000000000003,0.0,0.0,0.0
1,39,24.605,161.945,0.5379999999999999,1.473,10.592,73.567,0.0,0.0,1.781,6.556,707.155,2074.03,575.558,0.0,0.0,0.0,0.0
1,42,14.642000000000001,66.743,1.518,4.406000000000001,1.49,4.3389999999999995,0.047,1.767,34.681,167.78799999999998,762.2189999999999,2628.8579999999997,219.425,0.0,0.0,0.0,0.0
1,43,22.851999999999997,91.213,9.318,40.298,0.302,0.727,0.156,0.032,3.6430000000000002,6.05,914.9689999999999,3939.085,0.0,0.0,0.0,0.0,0.0
1,44,2.303,11.52,12.319,49.06100000000001,0.903,3.517,0.0,0.0,0.027000000000000003,0.057,356.10400000000004,1286.853,0.124,0.0,0.0,0.0,0.0
1,46,31.935,317.817,116.21600000000001,687.311,0.109,0.608,0.0,0.0,5.989,19.53,1420.4479999999999,4332.929,0.109,0.0,0.0,0.0,0.0
1,47,68.6,261.365,38.352,134.69899999999998,3.502,22.357,0.0,0.172,5.825,10.389000000000001,75.53399999999999,163.703,0.016,0.0,0.0,0.0,0.0
