,ID,Session 2,Session 3,Session 4,Session 5,Session 6,Nota primera oportunidad,Nota segunda oportunidad,aprobar
0,1,5.0,0.0,4.5,4.0,2.25,0.0,94.5,1
1,2,4.0,3.5,4.5,4.0,1.0,0.0,44.0,0
2,3,3.5,3.5,4.5,4.0,0.0,85.0,0.0,1
3,4,6.0,4.0,5.0,3.5,2.75,0.0,30.0,0
4,5,5.0,4.0,5.0,4.0,2.75,0.0,38.5,0
5,6,5.5,3.5,4.5,3.0,3.0,82.0,0.0,1
6,7,4.0,4.0,4.5,4.0,2.0,52.5,78.0,1
7,8,4.0,3.5,4.0,3.0,0.0,0.0,8.5,0
8,9,0.0,3.0,4.0,4.0,2.0,0.0,18.5,0
9,10,5.0,4.0,4.5,4.0,3.0,59.0,0.0,0
10,11,4.0,2.0,5.0,4.0,1.5,0.0,60.0,1
11,12,3.5,3.5,4.5,4.0,2.0,0.0,40.5,0
12,13,0.0,0.0,5.0,4.0,3.0,90.0,0.0,1
13,14,6.0,4.0,5.0,4.0,2.75,0.0,64.0,1
14,15,2.0,4.0,5.0,4.0,2.0,67.5,0.0,1
15,16,3.0,2.5,5.0,4.0,2.0,67.0,0.0,1
16,17,3.5,3.5,5.0,4.0,4.0,97.0,0.0,1
17,18,5.0,4.0,4.5,4.0,3.0,62.0,0.0,1
18,19,4.0,2.0,4.5,4.0,1.5,0.0,50.0,0
19,20,3.0,3.0,4.5,3.5,2.0,58.5,97.5,1
20,21,5.0,0.0,3.5,0.0,0.0,0.0,0.0,0
21,22,4.5,0.0,4.0,4.0,0.0,0.0,40.0,0
22,23,0.0,1.5,4.0,3.5,0.0,0.0,0.0,0
23,24,2.5,2.0,4.5,3.5,3.0,32.5,70.5,1
24,25,0.0,1.5,4.5,4.0,2.25,0.0,57.5,0
25,26,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0
26,27,0.0,3.0,4.5,4.0,1.75,74.5,0.0,1
27,28,6.0,4.0,5.0,4.0,3.0,79.5,0.0,1
28,29,4.0,3.0,5.0,4.0,3.75,97.0,0.0,1
29,30,3.0,2.0,4.5,4.0,2.75,7.0,55.5,0
30,31,0.0,0.5,4.0,3.0,0.0,0.0,0.0,0
31,32,5.5,4.0,5.0,4.0,3.5,75.5,0.0,1
32,33,0.0,0.0,4.0,0.0,0.0,0.0,30.5,0
33,34,4.5,3.5,5.0,3.0,1.25,0.0,18.0,0
34,35,0.5,0.5,3.5,3.5,1.5,0.0,0.0,0
35,36,5.5,4.0,5.0,4.0,2.75,79.0,0.0,1
36,37,0.0,0.0,4.5,3.5,3.0,19.0,30.0,0
37,38,4.0,2.5,4.5,3.5,3.0,0.0,41.5,0
