session,student_Id,exercise,activity,start_time,end_time,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
4,1, Es, Other, 13.11.2014 11:8:14, 13.11.2014 11:8:15,94,0,0,0,0,50,0
4,1, Es, Other, 13.11.2014 11:8:16, 13.11.2014 11:8:16,0,0,0,2,0,15,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:8:17, 13.11.2014 11:8:20,189,0,0,2,0,269,0
4,1, Es_4_1, Blank, 13.11.2014 11:8:21, 13.11.2014 11:8:22,16,0,0,2,0,183,0
4,1, Es_4_2, Study_Es_4_2, 13.11.2014 11:8:23, 13.11.2014 11:8:25,0,0,0,2,0,198,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:8:26, 13.11.2014 11:8:26,0,0,0,2,0,79,0
4,1, Es_4_3, Study_Es_4_3, 13.11.2014 11:8:27, 13.11.2014 11:8:28,15,0,0,4,0,143,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:8:29, 13.11.2014 11:8:29,0,0,0,2,0,83,0
4,1, Es_4_1, Blank, 13.11.2014 11:8:30, 13.11.2014 11:8:30,0,0,0,2,0,119,0
4,1, Es_4_4, Study_Es_4_4, 13.11.2014 11:8:31, 13.11.2014 11:8:37,901,0,0,2,0,281,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:8:38, 13.11.2014 11:8:50,7948,0,0,4,0,689,0
4,1, Es_4_1, Blank, 13.11.2014 11:8:51, 13.11.2014 11:8:53,1342,0,0,2,0,104,0
4,1, Es_4_1, Other, 13.11.2014 11:8:54, 13.11.2014 11:8:55,32,0,0,3,0,133,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:8:56, 13.11.2014 11:8:56,0,0,0,1,0,117,0
4,1, Es_4_1, Other, 13.11.2014 11:8:57, 13.11.2014 11:9:0,439,0,0,2,0,194,0
4,1, Es_4_1, Other, 13.11.2014 11:9:1, 13.11.2014 11:9:3,156,0,0,2,0,139,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:9:4, 13.11.2014 11:9:8,62,0,0,6,0,327,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:9:9, 13.11.2014 11:9:11,0,0,0,4,0,277,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:9:12, 13.11.2014 11:9:16,360,0,0,4,0,382,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:9:17, 13.11.2014 11:9:24,7268,1,0,2,0,159,0
4,1, Es_4_1, Blank, 13.11.2014 11:9:25, 13.11.2014 11:9:25,0,0,0,1,0,83,0
4,1, Es_4_1, Other, 13.11.2014 11:9:26, 13.11.2014 11:9:27,0,0,0,5,0,133,0
4,1, Es_4_1, TextEditor, 13.11.2014 11:9:28, 13.11.2014 11:9:28,0,0,0,0,0,104,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:9:29, 13.11.2014 11:10:4,390234,1,0,2,0,416,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:10:5, 13.11.2014 11:10:9,264,0,0,8,0,318,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:10:10, 13.11.2014 11:10:23,9525,0,0,6,0,396,56
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:10:24, 13.11.2014 11:10:37,9359,0,0,2,0,409,6
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:10:38, 13.11.2014 11:10:44,871,0,0,6,0,491,6
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:10:45, 13.11.2014 11:10:58,21095,0,0,4,0,372,0
4,1, Es_4_1, Diagram, 13.11.2014 11:10:59, 13.11.2014 11:11:1,0,0,0,4,0,211,0
4,1, Es_4_1, Diagram, 13.11.2014 11:11:2, 13.11.2014 11:11:2,0,0,0,2,0,62,0
4,1, Es_4_1, Diagram, 13.11.2014 11:11:3, 13.11.2014 11:11:15,8899,0,0,16,0,495,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:11:16, 13.11.2014 11:11:18,0,2,0,2,0,133,0
4,1, Es_4_1, Blank, 13.11.2014 11:11:19, 13.11.2014 11:11:42,134512,0,0,3,0,376,0
4,1, Es_4_1, Diagram, 13.11.2014 11:11:43, 13.11.2014 11:12:26,112029,0,0,5,0,1888,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:12:27, 13.11.2014 11:12:59,200364,0,0,8,0,727,0
4,1, Es_4_1, Diagram, 13.11.2014 11:13:0, 13.11.2014 11:13:7,5926,0,0,4,0,296,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:13:8, 13.11.2014 11:13:17,2510,0,0,8,0,459,4
4,1, Es_4_1, Blank, 13.11.2014 11:13:18, 13.11.2014 11:13:18,0,0,0,0,2,57,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:13:19, 13.11.2014 11:14:24,1512553,0,0,4,0,768,0
4,1, Es_4_1, Other, 13.11.2014 11:14:25, 13.11.2014 11:14:25,0,0,0,2,0,25,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:14:27, 13.11.2014 11:16:27,6608105,0,0,2,0,301,96
4,1, Es_4_1, Diagram, 13.11.2014 11:16:28, 13.11.2014 11:16:29,32,0,0,4,0,157,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:16:30, 13.11.2014 11:18:7,824736,0,0,62,0,3256,0
4,1, Es_4_1, Other, 13.11.2014 11:18:8, 13.11.2014 11:18:28,42806,0,0,2,0,652,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:18:29, 13.11.2014 11:19:37,1170103,0,0,8,0,1301,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:19:38, 13.11.2014 11:19:40,0,0,0,2,0,324,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:19:41, 13.11.2014 11:19:42,47,0,0,2,0,128,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:19:43, 13.11.2014 11:20:5,208806,0,0,2,0,216,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:20:6, 13.11.2014 11:21:38,1503245,0,0,60,0,2698,0
4,1, Es_4_1, Other, 13.11.2014 11:21:39, 13.11.2014 11:21:44,248,0,0,2,0,428,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:21:45, 13.11.2014 11:22:2,66958,0,0,6,0,417,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:22:3, 13.11.2014 11:22:22,24195,0,0,2,0,275,106
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:22:23, 13.11.2014 11:22:31,1968,0,0,2,0,413,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:22:32, 13.11.2014 11:22:35,108,0,0,6,0,173,2
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:22:36, 13.11.2014 11:22:36,0,0,0,2,0,63,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:22:37, 13.11.2014 11:22:52,26103,0,0,2,0,113,94
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:22:53, 13.11.2014 11:22:53,0,0,0,2,0,91,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:22:54, 13.11.2014 11:22:54,0,0,0,2,0,0,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:22:55, 13.11.2014 11:23:0,810,0,0,2,0,123,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:23:1, 13.11.2014 11:23:22,66249,0,0,2,0,315,64
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:23:23, 13.11.2014 11:23:30,1273,0,0,2,0,343,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:23:31, 13.11.2014 11:32:47,85966288,24,0,28,0,2730,1519
4,1, Es_4_1, Blank, 13.11.2014 11:32:48, 13.11.2014 11:32:48,0,0,0,2,0,83,0
4,1, Es_4_1, Study_Es_4_1, 13.11.2014 11:32:49, 13.11.2014 11:32:50,406,0,0,2,0,108,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:32:51, 13.11.2014 11:32:51,0,0,0,2,0,17,0
4,1, Es_4_1, Aulaweb, 13.11.2014 11:32:52, 13.11.2014 11:33:0,997,0,0,6,0,233,0
4,1, Es_4_2, Study_Es_4_2, 13.11.2014 11:33:1, 13.11.2014 11:33:12,10215,0,0,4,0,533,0
4,1, Es_4_1, TextEditor_Es_4_1, 13.11.2014 11:33:13, 13.11.2014 11:33:15,468,0,0,4,0,157,0
4,1, Es_4_2, Study_Es_4_2, 13.11.2014 11:33:16, 13.11.2014 11:33:17,109,0,0,2,0,190,0
4,1, Es_4_2, Other, 13.11.2014 11:33:18, 13.11.2014 11:33:19,0,0,0,6,0,107,0
4,1, Es_4_2, TextEditor, 13.11.2014 11:33:20, 13.11.2014 11:33:20,0,0,0,0,0,97,0
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:33:21, 13.11.2014 11:33:23,0,0,0,0,0,146,0
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:33:24, 13.11.2014 11:33:32,4244,0,0,4,0,282,34
4,1, Es_4_2, Blank, 13.11.2014 11:33:33, 13.11.2014 11:33:34,0,0,0,2,0,126,0
4,1, Es_4_1, Deeds_Es_4_1, 13.11.2014 11:33:36, 13.11.2014 11:33:43,211,0,0,4,0,498,4
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:33:44, 13.11.2014 11:33:44,0,0,0,2,0,85,0
4,1, Es_4_2, Other, 13.11.2014 11:33:45, 13.11.2014 11:33:47,0,0,0,5,0,191,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:33:48, 13.11.2014 11:33:52,125,0,0,1,0,241,4
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:33:53, 13.11.2014 11:34:13,23169,6,0,10,0,1132,10
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:34:14, 13.11.2014 11:34:15,31,0,0,2,0,117,0
4,1, Es_4_2, Blank, 13.11.2014 11:34:16, 13.11.2014 11:34:18,280,0,0,2,0,143,0
4,1, Es_4_2, Study_Es_4_2, 13.11.2014 11:34:19, 13.11.2014 11:34:21,0,0,0,2,0,105,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:34:22, 13.11.2014 11:34:24,0,0,0,4,0,178,0
4,1, Es_4_2, Diagram, 13.11.2014 11:34:25, 13.11.2014 11:34:26,16,0,0,3,0,117,0
4,1, Es_4_2, Diagram, 13.11.2014 11:34:27, 13.11.2014 11:34:31,123,0,0,3,0,202,0
4,1, Es_4_2, Diagram, 13.11.2014 11:34:32, 13.11.2014 11:34:35,31,0,0,2,0,293,0
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:34:36, 13.11.2014 11:34:52,9116,7,0,12,0,729,24
4,1, Es_4_2, Diagram, 13.11.2014 11:34:53, 13.11.2014 11:34:54,0,0,0,2,0,180,0
4,1, Es_4_2, Study_Es_4_2, 13.11.2014 11:34:55, 13.11.2014 11:34:55,0,0,0,2,0,88,0
4,1, Es_4_2, Diagram, 13.11.2014 11:34:56, 13.11.2014 11:35:1,95,0,0,2,0,382,0
4,1, Es_4_2, Aulaweb, 13.11.2014 11:35:2, 13.11.2014 11:35:2,0,0,0,2,0,36,0
4,1, Es_4_2, Other, 13.11.2014 11:35:3, 13.11.2014 11:35:3,0,0,0,2,0,23,0
4,1, Es_4_3, Study_Es_4_3, 13.11.2014 11:35:4, 13.11.2014 11:35:30,120857,0,0,2,0,477,0
4,1, Es_4_3, Blank, 13.11.2014 11:35:31, 13.11.2014 11:35:31,0,0,0,1,0,74,0
4,1, Es_4_3, Other, 13.11.2014 11:35:32, 13.11.2014 11:35:32,0,0,0,1,0,79,0
4,1, Es_4_3, Deeds_Es_4_3, 13.11.2014 11:35:33, 13.11.2014 11:35:36,189,0,0,6,0,177,6
4,1, Es_4_3, Other, 13.11.2014 11:35:37, 13.11.2014 11:35:37,0,0,0,2,0,83,0
4,1, Es_4_3, TextEditor, 13.11.2014 11:35:38, 13.11.2014 11:35:38,0,0,0,4,0,25,0
4,1, Es_4_3, TextEditor_Es_4_3, 13.11.2014 11:35:39, 13.11.2014 11:35:39,0,0,0,0,0,125,0
4,1, Es_4_3, TextEditor_Es_4_3, 13.11.2014 11:35:40, 13.11.2014 11:36:6,50930,0,0,10,0,841,62
4,1, Es_4_3, Blank, 13.11.2014 11:36:7, 13.11.2014 11:36:7,0,0,0,2,0,84,0
4,1, Es_4_3, Deeds_Es_4_3, 13.11.2014 11:36:8, 13.11.2014 11:36:9,0,0,0,2,0,92,0
4,1, Es_4_3, Blank, 13.11.2014 11:36:10, 13.11.2014 11:36:10,0,0,0,2,0,92,0
4,1, Es_4_3, Diagram, 13.11.2014 11:36:11, 13.11.2014 11:36:11,0,0,0,2,0,94,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:36:12, 13.11.2014 11:36:15,391,0,0,2,0,281,0
4,1, Es_4_2, Diagram, 13.11.2014 11:36:16, 13.11.2014 11:36:26,6213,0,0,10,0,529,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:36:27, 13.11.2014 11:36:27,0,0,0,2,0,85,0
4,1, Es_4_3, TextEditor_Es_4_3, 13.11.2014 11:36:28, 13.11.2014 11:36:44,6583,24,0,2,0,680,4
4,1, Es_4_3, Deeds_Es_4_3, 13.11.2014 11:36:45, 13.11.2014 11:36:50,4289,0,0,4,0,241,0
4,1, Es_4_3, Diagram, 13.11.2014 11:36:51, 13.11.2014 11:36:52,0,0,0,2,0,183,0
4,1, Es_4_3, Diagram, 13.11.2014 11:36:53, 13.11.2014 11:36:53,0,0,0,4,0,67,0
4,1, Es_4_3, Diagram, 13.11.2014 11:36:54, 13.11.2014 11:37:2,5118,0,0,6,0,430,0
4,1, Es_4_3, TextEditor_Es_4_3, 13.11.2014 11:37:3, 13.11.2014 11:37:13,11826,15,0,4,0,453,6
4,1, Es_4_3, Blank, 13.11.2014 11:37:14, 13.11.2014 11:37:15,842,0,0,2,0,26,0
4,1, Es_4_3, Diagram, 13.11.2014 11:37:16, 13.11.2014 11:37:22,403,0,0,8,0,429,0
4,1, Es_4_3, TextEditor_Es_4_3, 13.11.2014 11:37:23, 13.11.2014 11:37:32,2032,0,0,6,0,612,6
4,1, Es_4_3, Diagram, 13.11.2014 11:37:33, 13.11.2014 11:37:33,0,0,0,2,0,88,0
4,1, Es_4_3, Deeds_Es_4_3, 13.11.2014 11:37:34, 13.11.2014 11:37:35,0,0,0,2,0,187,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:37:36, 13.11.2014 11:37:41,453,4,0,2,0,322,0
4,1, Es_4_2, Diagram, 13.11.2014 11:37:42, 13.11.2014 11:37:43,16,0,0,2,0,191,0
4,1, Es_4_2, Diagram, 13.11.2014 11:37:44, 13.11.2014 11:37:44,0,0,0,4,0,70,0
4,1, Es_4_2, Diagram, 13.11.2014 11:37:45, 13.11.2014 11:37:47,0,0,0,2,0,216,0
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:37:48, 13.11.2014 11:37:56,346,8,0,10,0,670,0
4,1, Es_4_2, Diagram, 13.11.2014 11:37:57, 13.11.2014 11:37:58,15,0,0,2,0,109,0
4,1, Es_4_2, Deeds_Es_4_2, 13.11.2014 11:37:59, 13.11.2014 11:38:0,31,0,0,4,0,162,0
4,1, Es_4_2, TextEditor_Es_4_2, 13.11.2014 11:38:1, 13.11.2014 11:38:3,32,0,0,2,0,130,0
4,1, Es_4_2, Other, 13.11.2014 11:38:4, 13.11.2014 11:38:6,62,0,0,2,0,142,0
4,1, Es_4_4, Deeds_Es_4_4, 13.11.2014 11:38:7, 13.11.2014 11:38:8,0,0,0,4,0,156,0
4,1, Es_4_4, Blank, 13.11.2014 11:38:9, 13.11.2014 11:38:10,265,0,0,2,0,156,0
4,1, Es_4_4, Aulaweb, 13.11.2014 11:38:11, 13.11.2014 11:38:11,0,0,0,4,0,62,0
4,1, Es_4_4, Study_Es_4_4, 13.11.2014 11:38:12, 13.11.2014 11:38:27,11065,26,0,0,0,548,0
4,1, Es_4_4, Blank, 13.11.2014 11:38:28, 13.11.2014 11:38:32,3464,0,0,4,0,176,0
4,1, Es_4_4, Other, 13.11.2014 11:38:33, 13.11.2014 11:38:37,2574,0,0,2,0,229,0
4,1, Es_4_4, Deeds, 13.11.2014 11:38:38, 13.11.2014 11:38:38,0,0,0,4,0,25,0
4,1, Es_4_4, Deeds_Es_4_4, 13.11.2014 11:38:39, 13.11.2014 11:38:42,0,1,0,0,0,247,0
4,1, Es_4_4, Study_Es_4_4, 13.11.2014 11:38:43, 13.11.2014 11:38:45,30,2,0,2,0,165,0
4,1, Es_4_4, Diagram, 13.11.2014 11:38:46, 13.11.2014 11:38:47,0,0,0,4,0,159,0
4,1, Es_4_4, Diagram, 13.11.2014 11:38:48, 13.11.2014 11:38:48,0,0,0,2,0,79,0
4,1, Es_4_4, Diagram, 13.11.2014 11:38:49, 13.11.2014 11:39:0,6611,0,0,24,0,523,0
4,1, Es_4_4, Deeds_Es_4_4, 13.11.2014 11:39:1, 13.11.2014 11:39:5,1046,0,0,2,0,230,0
4,1, Es_4_4, Other, 13.11.2014 11:39:6, 13.11.2014 11:39:7,16,0,0,2,0,163,0
4,1, Es_4_4, TextEditor_Es_4_4, 13.11.2014 11:39:8, 13.11.2014 11:39:10,0,0,0,6,0,240,0
4,1, Es_4_4, TextEditor_Es_4_4, 13.11.2014 11:39:11, 13.11.2014 11:39:26,7089,0,0,10,0,526,74
4,1, Es_4_4, Diagram, 13.11.2014 11:39:27, 13.11.2014 11:39:27,0,0,0,2,0,99,0
4,1, Es_4_4, Deeds_Es_4_4, 13.11.2014 11:39:28, 13.11.2014 11:39:32,327,0,0,2,0,218,3
4,1, Es_4_4, TextEditor_Es_4_4, 13.11.2014 11:39:33, 13.11.2014 11:39:42,3592,0,0,8,0,495,7
4,1, Es_4_4, Deeds_Es_4_4, 13.11.2014 11:39:43, 13.11.2014 11:39:43,0,0,0,2,0,39,0
4,1, Es_4_4, Other, 13.11.2014 11:39:44, 13.11.2014 11:39:45,218,0,0,2,0,159,0
4,1, Es_4_4, Blank, 13.11.2014 11:39:46, 13.11.2014 11:39:46,0,0,0,5,0,55,0
4,1, Es_4_5, TextEditor_Es_4_5, 13.11.2014 11:39:47, 13.11.2014 11:39:53,4365,0,0,5,0,369,0
4,1, Es_4_5, TextEditor_Es_4_5, 13.11.2014 11:39:54, 13.11.2014 11:40:4,12707,0,0,6,0,470,30
4,1, Es_4_5, Deeds_Es_4_5, 13.11.2014 11:40:5, 13.11.2014 11:40:6,140,0,0,2,0,135,6
4,1, Es_4_5, TextEditor_Es_4_5, 13.11.2014 11:40:7, 13.11.2014 11:40:10,78,0,0,8,0,199,1
4,1, Es_4_5, Deeds_Es_4_5, 13.11.2014 11:40:11, 13.11.2014 11:40:14,141,0,0,4,0,246,3
4,1, Es_4_5, Diagram, 13.11.2014 11:40:15, 13.11.2014 11:40:18,141,0,0,5,0,157,0
4,1, Es_4_5, Properties, 13.11.2014 11:40:19, 13.11.2014 11:40:24,1874,0,0,1,0,149,0
4,1, Es_4_5, Diagram, 13.11.2014 11:40:25, 13.11.2014 11:40:59,334937,0,0,38,0,820,0
4,1, Es_4_5, Properties, 13.11.2014 11:41:0, 13.11.2014 11:41:2,94,0,0,2,0,162,0
